Table 6,,,,,,,,,,,,,,,,,
Crime in the United States,,,,,,,,,,,,,,,,,
"by Metropolitan Statistical Area, 2003",,,,,,,,,,,,,,,,,
,,,Violent crime,,,,,Property crime,,,,,,,,,
        City of Kokomo,"46,229",194,2,17,66,109,"3,029",551,"2,339",139,,,,,,,
        Total area actually reporting,88.9%,285,3,22,73,187,"3,894",758,"2,937",199,,,,,,,
        Estimated total,100.0%,302,3,24,75,200,"4,062",798,"3,047",217,,,,,,,
"        Rate per 100,000 inhabitants",,296.2,2.9,23.5,73.5,196.1,"3,983.4",782.6,"2,988.0",212.8,,,,,,,
"La Crosse, WI-MN M.S.A.","128,769", ,,,,, ,,,,,,,,,,
"    (Includes Houston County, MN and La Crosse County, WI.)",,,,,,,,,,,,,,,,,
"        City of La Crosse, WI","51,502",104,3,15,18,68,"1,695",216,"1,417",62,,,,,,,
        Total area actually reporting,100.0%,179,5,23,22,129,"3,050",386,"2,546",118,,,,,,,
"        Rate per 100,000 inhabitants",,139.0,3.9,17.9,17.1,100.2,"2,368.6",299.8,"1,977.2",91.6,,,,,,,
"Lafayette, IN M.S.A.","182,512", ,,,,, ,,,,,,,,,,
"    (Includes Benton, Carroll, and Tippecanoe Counties.)",,,,,,,,,,,,,,,,,
        City of Lafayette,"60,954",243,1,30,64,148,"3,205",603,"2,459",143,,,,,,,
        Total area actually reporting,85.1%,339,2,52,80,205,"5,344",957,"4,157",230,,,,,,,
        Estimated total,100.0%,385,2,56,87,240,"5,824","1,061","4,485",278,,,,,,,
"        Rate per 100,000 inhabitants",,210.9,1.1,30.7,47.7,131.5,"3,191.0",581.3,"2,457.4",152.3,,,,,,,
"Lafayette, LA M.S.A.","243,294", ,,,,, ,,,,,,,,,,
    (Includes Lafayette and St. Martin Parishes.),,,,,,,,,,,,,,,,,
        City of Lafayette,"111,612","1,251",7,325,166,753,"6,624","1,197","4,955",472,,,,,,,
        Total area actually reporting,91.2%,"1,568",9,361,207,991,"8,865","1,800","6,439",626,,,,,,,
        Estimated total,100.0%,"1,701",10,369,233,"1,089","10,123","2,010","7,413",700,,,,,,,
"        Rate per 100,000 inhabitants",,699.2,4.1,151.7,95.8,447.6,"4,160.8",826.2,"3,046.9",287.7,,,,,,,
"Lake Charles, LA M.S.A.","193,577", ,,,,, ,,,,,,,,,,
    (Includes Calcasieu and Cameron Parishes.),,,,,,,,,,,,,,,,,
        City of Lake Charles,"70,942",524,6,43,139,336,"4,163","1,678","2,288",197,,,,,,,
        Total area actually reporting,96.6%,993,13,103,222,655,"9,649","2,865","6,260",524,,,,,,,
        Estimated total,100.0%,"1,033",13,105,230,685,"10,038","2,930","6,561",547,,,,,,,
"        Rate per 100,000 inhabitants",,533.6,6.7,54.2,118.8,353.9,"5,185.5","1,513.6","3,389.3",282.6,,,,,,,
"Lakeland, FL M.S.A.","507,850",,,,,,,,,,,,,,,,
    (Includes Polk County.),, ,,,,,,,,,,,,,,,
        City of Lakeland,"87,752",516,5,39,215,257,"5,165",954,"3,844",367,,,,,,,
        Total area actually reporting,99.4%,"2,755",22,176,611,"1,946","22,867","5,837","15,221","1,809",,,,,,,
        Estimated total,100.0%,"2,773",22,177,616,"1,958","23,004","5,865","15,317","1,822",,,,,,,
"        Rate per 100,000 inhabitants",,546.0,4.3,34.9,121.3,385.5,"4,529.7","1,154.9","3,016.0",358.8,,,,,,,
"Lancaster, PA M.S.A.","479,739", ,,,,, ,,,,,,,,,,
    (Includes Lancaster County.),,,,,,,,,,,,,,,,,
        City of Lancaster,"55,765",557,8,37,245,267,"3,033",563,"2,152",318,,,,,,,
        Total area actually reporting,90.1%,994,9,91,368,526,"10,318","1,915","7,573",830,,,,,,,
        Estimated total,100.0%,"1,102",10,99,396,597,"11,331","2,061","8,365",905,,,,,,,
"        Rate per 100,000 inhabitants",,229.7,2.1,20.6,82.5,124.4,"2,361.9",429.6,"1,743.7",188.6,,,,,,,
"Lansing-East Lansing, MI M.S.A.","454,953",,,,,,,,,,,,,,,,
"    (Includes Clinton, Eaton, and Ingham Counties.)",, ,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Lansing,"118,937","1,220",8,164,208,840,"5,149","1,016","3,677",456,,,,,,,
            East Lansing,"46,408",229,4,18,31,176,"1,369",257,"1,040",72,,,,,,,
        Total area actually reporting,99.2%,"2,053",17,333,334,"1,369","14,221","2,803","10,442",976,,,,,,,
        Estimated total,100.0%,"2,062",17,334,336,"1,375","14,333","2,822","10,522",989,,,,,,,
"        Rate per 100,000 inhabitants",,453.2,3.7,73.4,73.9,302.2,"3,150.4",620.3,"2,312.8",217.4,,,,,,,
"Laredo, TX M.S.A.","210,839", ,,,,, ,,,,,,,,,,
    (Includes Webb County.),,,,,,,,,,,,,,,,,
        City of Laredo,"194,516","1,317",29,55,257,976,"13,573","1,975","10,619",979,,,,,,,
        Total area actually reporting,100.0%,"1,372",31,61,263,"1,017","14,052","2,161","10,882","1,009",,,,,,,
"        Rate per 100,000 inhabitants",,650.7,14.7,28.9,124.7,482.4,"6,664.8","1,025.0","5,161.3",478.6,,,,,,,
"Las Vegas-Paradise, NV M.S.A.","1,569,549",,,,,,,,,,,,,,,,
    (Includes Clark County.),, ,,,,,,,,,,,,,,,
        City of Las Vegas Metropolitan Police Department,"1,189,388","9,158",141,511,"3,955","4,551","57,552","12,782","30,052","14,718",,,,,,,
        Total area actually reporting,100.0%,"10,901",172,668,"4,441","5,620","71,581","16,392","37,117","18,072",,,,,,,
"        Rate per 100,000 inhabitants",,694.5,11.0,42.6,282.9,358.1,"4,560.6","1,044.4","2,364.8","1,151.4",,,,,,,
"Lawrence, KS M.S.A.","102,603", ,,,,, ,,,,,,,,,,
    (Includes Douglas County.),,,,,,,,,,,,,,,,,
        City of Lawrence,"81,833",365,3,37,59,266,"4,205",810,"3,222",173,,,,,,,
        Total area actually reporting,100.0%,423,4,44,61,314,"5,053","1,036","3,815",202,,,,,,,
"        Rate per 100,000 inhabitants",,412.3,3.9,42.9,59.5,306.0,"4,924.8","1,009.7","3,718.2",196.9,,,,,,,
"Lawton, OK M.S.A.","113,992", ,,,,, ,,,,,,,,,,
    (Includes Comanche County.),,,,,,,,,,,,,,,,,
        City of Lawton,"91,799",693,5,37,113,538,"5,015","1,285","3,485",245,,,,,,,
        Total area actually reporting,100.0%,773,5,41,115,612,"5,409","1,393","3,725",291,,,,,,,
"        Rate per 100,000 inhabitants",,678.1,4.4,36.0,100.9,536.9,"4,745.1","1,222.0","3,267.8",255.3,,,,,,,
"Lebanon, PA M.S.A.","121,497", ,,,,, ,,,,,,,,,,
    (Includes Lebanon County.),,,,,,,,,,,,,,,,,
        City of Lebanon,"24,072",180,2,15,63,100,938,209,653,76,,,,,,,
        Total area actually reporting,86.6%,322,2,31,82,207,"2,402",429,"1,830",143,,,,,,,
        Estimated total,100.0%,358,2,34,91,231,"2,749",479,"2,101",169,,,,,,,
"        Rate per 100,000 inhabitants",,294.7,1.6,28.0,74.9,190.1,"2,262.6",394.2,"1,729.3",139.1,,,,,,,
"Lewiston, ID-WA M.S.A.","58,466", ,,,,, ,,,,,,,,,,
"    (Includes Nez Perce County, ID and Asotin County, WA.)",,,,,,,,,,,,,,,,,
"        City of Lewiston, ID","31,060",39,0,2,6,31,"1,309",269,978,62,,,,,,,
        Total area actually reporting,98.1%,94,0,9,10,75,"2,197",460,"1,618",119,,,,,,,
        Estimated total,100.0%,98,0,10,10,78,"2,244",468,"1,654",122,,,,,,,
"        Rate per 100,000 inhabitants", ,167.6,0.0,17.1,17.1,133.4,"3,838.1",800.5,"2,829.0",208.7,,,,,,,
"Lewiston-Auburn, ME M.S.A.","105,717",,,,,,,,,,,,,,,,
    (Includes Androscoggin County.),, ,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Lewiston,"35,958",79,2,36,29,12,"1,330",235,"1,035",60,,,,,,,
            Auburn,"23,343",17,0,2,9,6,769,105,628,36,,,,,,,
        Total area actually reporting,100.0%,128,4,49,40,35,"2,928",494,"2,301",133,,,,,,,
"        Rate per 100,000 inhabitants",,121.1,3.8,46.4,37.8,33.1,"2,769.7",467.3,"2,176.6",125.8,,,,,,,
"Lima, OH M.S.A.","108,258", ,,,,, ,,,,,,,,,,
    (Includes Allen County.),,,,,,,,,,,,,,,,,
        City of Lima,"40,872",423,2,70,108,243,"2,380",637,"1,599",144,,,,,,,
        Total area actually reporting,96.6%,485,2,86,124,273,"3,980",848,"2,941",191,,,,,,,
        Estimated total,100.0%,491,2,87,126,276,"4,091",867,"3,026",198,,,,,,,
"        Rate per 100,000 inhabitants",,453.5,1.8,80.4,116.4,254.9,"3,778.9",800.9,"2,795.2",182.9,,,,,,,
"Lincoln, NE M.S.A.","275,781", ,,,,, ,,,,,,,,,,
    (Includes Lancaster and Seward Counties.),,,,,,,,,,,,,,,,,
        City of Lincoln,"233,721","1,114",5,94,153,862,"13,487","1,959","11,049",479,,,,,,,
        Total area actually reporting,100.0%,"1,141",5,100,157,879,"14,586","2,207","11,861",518,,,,,,,
"        Rate per 100,000 inhabitants",,413.7,1.8,36.3,56.9,318.7,"5,289.0",800.3,"4,300.9",187.8,,,,,,,
"Little Rock-North Little Rock, AR M.S.A.1","626,440",,,,,,,,,,,,,,,,
"    (Includes Faulkner, Grant, Lonoke, Perry, Pulaski, and Saline Counties.)",, ,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Little Rock,"185,117","2,858",44,129,896,"1,789","18,600","4,442","12,743","1,415",,,,,,,
            North Little Rock,"60,353",516,8,41,163,304,"5,270",809,"3,986",475,,,,,,,
        Total area actually reporting,97.0%,"4,403",63,272,"1,168","2,900","35,773","8,054","25,100","2,619",,,,,,,
        Estimated total,100.0%,"4,461",63,277,"1,175","2,946","36,517","8,247","25,616","2,654",,,,,,,
"        Rate per 100,000 inhabitants",,712.1,10.1,44.2,187.6,470.3,"5,829.3","1,316.5","4,089.1",423.7,,,,,,,
"Longview, TX M.S.A.","200,362", ,,,,, ,,,,,,,,,,
"    (Includes Gregg, Rusk, and Upshur Counties.)",,,,,,,,,,,,,,,,,
        City of Longview,"73,852",488,4,71,161,252,"5,020","1,036","3,536",448,,,,,,,
        Total area actually reporting,99.4%,"1,000",7,124,201,668,"9,649","2,133","6,729",787,,,,,,,
        Estimated total,100.0%,"1,003",7,124,202,670,"9,699","2,143","6,765",791,,,,,,,
"        Rate per 100,000 inhabitants",,500.6,3.5,61.9,100.8,334.4,"4,840.7","1,069.6","3,376.4",394.8,,,,,,,
"Longview, WA M.S.A.","95,487",,,,,,,,,,,,,,,,
    (Includes Cowlitz County.),, ,,,,,,,,,,,,,,,
        City of Longview,"35,829",200,1,12,37,150,"3,840",910,"2,511",419,,,,,,,
        Total area actually reporting,100.0%,386,4,45,61,276,"6,598","1,547","4,289",762,,,,,,,
"        Rate per 100,000 inhabitants",,404.2,4.2,47.1,63.9,289.0,"6,909.8","1,620.1","4,491.7",798.0,,,,,,,
"Los Angeles-Long Beach-Santa Ana, CA M.S.A.","12,878,801",,,,,,,,,,,,,,,,
    (Includes the Metropolitan Divisions of Los Angeles-Long Beach-Glendale and Santa Ana-Anaheim-Irvine.),,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Los Angeles,"3,838,838","48,824",515,"1,226","16,577","30,506","135,781","25,115","77,111","33,555",,,,,,,
            Long Beach,"477,368","3,579",49,136,"1,411","1,983","14,823","3,003","8,072","3,748",,,,,,,
            Santa Ana,"347,016","1,788",17,76,739,956,"9,728","1,110","5,932","2,686",,,,,,,
            Anaheim,"336,132","1,319",9,76,410,824,"10,446","1,971","6,708","1,767",,,,,,,
            Glendale,"201,522",363,6,18,146,193,"3,876",800,"2,283",793,,,,,,,
            Pomona,"155,166","1,217",17,49,422,729,"5,459",914,"2,905","1,640",,,,,,,
            Irvine,"163,823",144,2,18,51,73,"3,310",816,"2,238",256,,,,,,,
            Torrance,"143,101",402,2,23,216,161,"4,292",785,"2,753",754,,,,,,,
            Pasadena,"141,178",700,4,38,265,393,"4,586",849,"3,206",531,,,,,,,
            Orange,"132,987",262,1,10,97,154,"3,376",440,"2,423",513,,,,,,,
            Fullerton,"130,194",363,5,37,120,201,"4,599",784,"3,222",593,,,,,,,
            Costa Mesa,"111,281",304,1,42,112,149,"3,586",516,"2,665",405,,,,,,,
            Burbank,"103,993",283,3,15,69,196,"2,694",500,"1,728",466,,,,,,,
            Compton,"96,562","1,549",43,41,444,"1,021","2,340",548,991,801,,,,,,,
            Carson,"93,904",731,12,15,207,497,"2,685",509,"1,453",723,,,,,,,
            Santa Monica,"87,710",555,2,21,242,290,"3,943",761,"2,716",466,,,,,,,
            Newport Beach,"78,915",115,0,16,27,72,"2,526",666,"1,671",189,,,,,,,
            Tustin,"69,357",265,1,11,55,198,"1,895",328,"1,316",251,,,,,,,
            Montebello,"64,274",248,4,17,88,139,"2,007",237,"1,138",632,,,,,,,
            Monterey Park,"62,471",167,1,6,99,61,"1,380",272,654,454,,,,,,,
            Gardena,"60,283",527,3,17,269,238,"1,683",396,850,437,,,,,,,
            Paramount,"57,082",430,10,14,182,224,"2,083",331,"1,060",692,,,,,,,
            Fountain Valley,"56,136",108,0,9,43,56,"1,449",254,"1,037",158,,,,,,,
            Arcadia,"55,480",137,2,5,55,75,"1,540",383,987,170,,,,,,,
            Cerritos,"53,172",199,2,7,97,93,"1,972",328,"1,261",383,,,,,,,
        Total area actually reporting,100.0%,"92,890","1,118","3,083","31,586","57,103","380,455","73,250","220,688","86,517",,,,,,,
"        Rate per 100,000 inhabitants",,721.3,8.7,23.9,245.3,443.4,"2,954.1",568.8,"1,713.6",671.8,,,,,,,
"    Los Angeles-Long Beach-Glendale, CA M.D.","9,909,465",,,,,,,,,,,,,,,,
        (Includes Los Angeles County.),,,,,,,,,,,,,,,,,
            Total area actually reporting,100.0%,"84,671","1,054","2,586","28,962","52,069","307,294","60,277","171,781","75,236",,,,,,,
"            Rate per 100,000 inhabitants",,854.4,10.6,26.1,292.3,525.4,"3,101.0",608.3,"1,733.5",759.2,,,,,,,
"    Santa Ana-Anaheim-Irvine, CA M.D.","2,969,336",,,,,,,,,,,,,,,,
        (Includes Orange County.),,,,,,,,,,,,,,,,,
            Total area actually reporting,100.0%,"8,219",64,497,"2,624","5,034","73,161","12,973","48,907","11,281",,,,,,,
"            Rate per 100,000 inhabitants",,276.8,2.2,16.7,88.4,169.5,"2,463.9",436.9,"1,647.1",379.9,,,,,,,
"Lubbock, TX M.S.A.","258,395", ,,,,, ,,,,,,,,,,
    (Includes Crosby and Lubbock Counties.),,,,,,,,,,,,,,,,,
        City of Lubbock,"206,882","2,395",14,101,311,"1,969","13,246","2,829","9,726",691,,,,,,,
        Total area actually reporting,100.0%,"2,528",18,117,315,"2,078","14,892","3,259","10,849",784,,,,,,,
"        Rate per 100,000 inhabitants",,978.3,7.0,45.3,121.9,804.2,"5,763.3","1,261.2","4,198.6",303.4,,,,,,,
"Lynchburg, VA M.S.A.","232,783", ,,,,, ,,,,,,,,,,
"    (Includes Amherst, Appomattox, Bedford, and Campbell Counties and Bedford and Lynchburg Cities.)",,,,,,,,,,,,,,,,,
        City of Lynchburg,"65,438",267,6,25,72,164,"2,395",411,"1,822",162,,,,,,,
        Total area actually reporting,100.0%,480,8,59,95,318,"4,524",765,"3,456",303,,,,,,,
"        Rate per 100,000 inhabitants",,206.2,3.4,25.3,40.8,136.6,"1,943.4",328.6,"1,484.6",130.2,,,,,,,
"Macon, GA M.S.A.","228,316", ,,,,, ,,,,,,,,,,
"    (Includes Bibb, Crawford, Jones, Monroe, and Twiggs Counties.)",,,,,,,,,,,,,,,,,
        City of Macon,"97,255",647,18,46,229,354,"9,072","1,881","6,181","1,010",,,,,,,
        Total area actually reporting,97.1%,793,21,73,254,445,"13,508","2,986","9,063","1,459",,,,,,,
        Estimated total,100.0%,828,21,75,266,466,"13,877","3,046","9,335","1,496",,,,,,,
"        Rate per 100,000 inhabitants",,362.7,9.2,32.8,116.5,204.1,"6,078.0","1,334.1","4,088.6",655.2,,,,,,,
"Madera, CA M.S.A.","131,632",,,,,, ,,,,,,,,,,
    (Includes Madera County.),,,,,,,,,,,,,,,,,
        City of Madera,"46,699",478,2,30,145,301,"1,923",471,"1,054",398,,,,,,,
        Total area actually reporting,100.0%,864,7,50,170,637,"4,158","1,227","2,090",841,,,,,,,
"        Rate per 100,000 inhabitants",,656.4,5.3,38.0,129.1,483.9,"3,158.8",932.1,"1,587.8",638.9,,,,,,,
"Madison, WI M.S.A.","522,573", ,,,,, ,,,,,,,,,,
"    (Includes Columbia, Dane, and Iowa Counties.)",,,,,,,,,,,,,,,,,
        City of Madison,"216,441",774,8,63,278,425,"7,905","1,605","5,671",629,,,,,,,
        Total area actually reporting,84.0%,"1,100",15,124,355,606,"14,089","2,282","10,929",878,,,,,,,
        Estimated total,100.0%,"1,162",16,134,364,648,"15,324","2,537","11,841",946,,,,,,,
"        Rate per 100,000 inhabitants",,222.4,3.1,25.6,69.7,124.0,"2,932.4",485.5,"2,265.9",181.0,,,,,,,
"Mansfield, OH M.S.A.","128,167", ,,,,, ,,,,,,,,,,
    (Includes Richland County.),,,,,,,,,,,,,,,,,
        City of Mansfield,"50,812",162,7,22,100,33,"3,482",822,"2,507",153,,,,,,,
        Total area actually reporting,100.0%,210,7,40,113,50,"5,886","1,361","4,287",238,,,,,,,
"        Rate per 100,000 inhabitants",,163.8,5.5,31.2,88.2,39.0,"4,592.4","1,061.9","3,344.9",185.7,,,,,,,
"McAllen-Edinburg-Pharr, TX M.S.A.","624,027",,,,,,,,,,,,,,,,
    (Includes Hidalgo County.),,,,,,,,,,,,,,,,,
        City of:,,, ,,,,,,,,,,,,,,
            McAllen,"115,647",512,6,29,145,332,"8,542",902,"6,985",655,,,,,,,
            Edinburg,"53,584",265,6,17,44,198,"6,639",765,"5,617",257,,,,,,,
            Pharr,"52,075",332,5,10,76,241,"3,083",664,"2,329",90,,,,,,,
            Mission,"52,232",58,0,2,17,39,"3,697",761,"2,568",368,,,,,,,
        Total area actually reporting,99.8%,"2,832",51,185,562,"2,034","36,537","7,336","26,808","2,393",,,,,,,
        Estimated total,100.0%,"2,836",51,185,563,"2,037","36,597","7,348","26,852","2,397",,,,,,,
"        Rate per 100,000 inhabitants",,454.5,8.2,29.6,90.2,326.4,"5,864.7","1,177.5","4,303.0",384.1,,,,,,,
"Medford, OR M.S.A.","188,446", ,,,,, ,,,,,,,,,,
    (Includes Jackson County.),,,,,,,,,,,,,,,,,
        City of Medford,"65,352",299,4,29,35,231,"4,235",484,"3,494",257,,,,,,,
        Total area actually reporting,99.8%,603,5,56,66,476,"7,882","1,133","6,285",464,,,,,,,
        Estimated total,100.0%,603,5,56,66,476,"7,902","1,136","6,300",466,,,,,,,
"        Rate per 100,000 inhabitants",,320.0,2.7,29.7,35.0,252.6,"4,193.2",602.8,"3,343.1",247.3,,,,,,,
"Memphis, TN-MS-AR M.S.A.","1,239,073", ,,,,, ,,,,,,,,,,
"    (Includes Crittenden County, AR; DeSoto, Marshall, Tate, and Tunica Counties, MS; and Fayette, Shelby, and Tipton Counties, TN.)",,,,,,,,,,,,,,,,,
        City of Memphis,"653,858","10,297",126,438,"4,297","5,436","55,475","16,900","30,049","8,526",,,,,,,
        Total area actually reporting,94.4%,"12,207",150,570,"4,683","6,804","72,920","21,047","41,635","10,238",,,,,,,
        Estimated total,100.0%,"12,376",152,586,"4,710","6,928","75,068","21,652","43,008","10,408",,,,,,,
"        Rate per 100,000 inhabitants",,998.8,12.3,47.3,380.1,559.1,"6,058.4","1,747.4","3,471.0",840.0,,,,,,,
"Merced, CA M.S.A.","227,763", ,,,,, ,,,,,,,,,,
    (Includes Merced County.),,,,,,,,,,,,,,,,,
        City of Merced,"68,941",636,7,29,168,432,"4,716",882,"3,182",652,,,,,,,
        Total area actually reporting,100.0%,"1,603",16,76,285,"1,226","9,930","2,624","5,780","1,526",,,,,,,
"        Rate per 100,000 inhabitants",,703.8,7.0,33.4,125.1,538.3,"4,359.8","1,152.1","2,537.7",670.0,,,,,,,
"Miami-Fort Lauderdale-Miami Beach, FL M.S.A.","5,327,879",,,,,,,,,,,,,,,,
"    (Includes the Metropolitan Divisions of Fort Lauderdale-Pompano Beach-Deerfield Beach, Miami-Miami Beach-Kendall, and West Palm Beach-Boca Raton-Boynton Beach.)",,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Miami,"381,651","7,157",74,107,"2,928","4,048","26,370","5,878","15,404","5,088",,,,,,,
            Fort Lauderdale,"161,090","1,352",18,49,640,645,"9,736","2,320","6,281","1,135",,,,,,,
            Miami Beach,"91,215","1,172",6,72,507,587,"9,438","1,414","6,840","1,184",,,,,,,
            Pompano Beach,"88,748",707,3,24,207,473,"3,061",592,"2,091",378,,,,,,,
            West Palm Beach,"88,101","1,161",14,64,538,545,"8,718","1,474","5,977","1,267",,,,,,,
            Boca Raton,"78,828",175,1,10,46,118,"2,522",597,"1,722",203,,,,,,,
            Deerfield Beach,"66,836",359,1,27,97,234,"1,695",314,"1,127",254,,,,,,,
            Boynton Beach,"64,849",678,1,5,185,487,"4,881",848,"3,558",475,,,,,,,
            Delray Beach,"63,412",521,1,15,125,380,"4,036",683,"2,952",401,,,,,,,
        Total area actually reporting,100.0%,"43,323",333,"1,892","14,068","27,030","267,997","51,614","180,811","35,572",,,,,,,
"        Rate per 100,000 inhabitants",,813.1,6.3,35.5,264.0,507.3,"5,030.1",968.8,"3,393.7",667.7,,,,,,,
"    Fort Lauderdale-Pompano Beach-Deerfield Beach, FL M.D.","1,740,402",,,,,,,,,,,,,,,,
        (Includes Broward County.),,,,,,,,,,,,,,,,,
            Total area actually reporting,100.0%,"9,115",67,477,"2,877","5,694","60,495","11,726","41,282","7,487",,,,,,,
"            Rate per 100,000 inhabitants",,523.7,3.8,27.4,165.3,327.2,"3,475.9",673.8,"2,372.0",430.2,,,,,,,
"    Miami-Miami Beach-Kendall, FL M.D.","2,375,298",,,,,,,,,,,,,,,,
        (Includes Miami-Dade County.),,,,,,,,,,,,,,,,,
            Total area actually reporting,100.0%,"25,544",205,941,"8,559","15,839","143,488","25,811","97,027","20,650",,,,,,,
"            Rate per 100,000 inhabitants",,"1,075.4",8.6,39.6,360.3,666.8,"6,040.8","1,086.6","4,084.8",869.4,,,,,,,
"    West Palm Beach-Boca Raton-Boynton Beach, FL M.D.","1,212,179",,,,,,,,,,,,,,,,
        (Includes Palm Beach County.),,,,,,,,,,,,,,,,,
            Total area actually reporting,100.0%,"8,664",61,474,"2,632","5,497","64,014","14,077","42,502","7,435",,,,,,,
"            Rate per 100,000 inhabitants",,714.7,5.0,39.1,217.1,453.5,"5,280.9","1,161.3","3,506.2",613.4,,,,,,,
"Michigan City-La Porte, IN M.S.A.","111,040",,,,,,,,,,,,,,,,
    (Includes La Porte County.),, ,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Michigan City,"32,757",150,1,18,72,59,"2,071",364,"1,538",169,,,,,,,
            La Porte,"21,419",60,0,5,7,48,"1,142",123,953,66,,,,,,,
        Total area actually reporting,98.7%,275,3,27,88,157,"4,356",742,"3,291",323,,,,,,,
        Estimated total,100.0%,279,3,27,89,160,"4,413",751,"3,334",328,,,,,,,
"        Rate per 100,000 inhabitants",,251.3,2.7,24.3,80.2,144.1,"3,974.2",676.3,"3,002.5",295.4,,,,,,,
"Midland, TX M.S.A.","119,498", ,,,,, ,,,,,,,,,,
    (Includes Midland County.),,,,,,,,,,,,,,,,,
        City of Midland,"97,319",510,2,39,74,395,"4,037",941,"2,925",171,,,,,,,
        Total area actually reporting,100.0%,566,2,41,75,448,"4,699","1,118","3,363",218,,,,,,,
"        Rate per 100,000 inhabitants",,473.6,1.7,34.3,62.8,374.9,"3,932.3",935.6,"2,814.3",182.4,,,,,,,
"Milwaukee-Waukesha-West Allis, WI M.S.A.","1,521,148",,,,,,,,,,,,,,,,
"    (Includes Milwaukee, Ozaukee, Washington, and Waukesha Counties.)",,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Milwaukee,"594,269","5,289",109,246,"2,868","2,066","37,798","6,041","25,526","6,231",,,,,,,
            Waukesha,"66,564",96,1,16,20,59,"1,313",350,908,55,,,,,,,
            West Allis,"60,985",166,3,16,84,63,"2,386",402,"1,781",203,,,,,,,
        Total area actually reporting,98.5%,"6,309",119,403,"3,234","2,553","59,044","9,044","42,766","7,234",,,,,,,
        Estimated total,100.0%,"6,335",119,407,"3,242","2,567","59,655","9,122","43,272","7,261",,,,,,,
"        Rate per 100,000 inhabitants",,416.5,7.8,26.8,213.1,168.8,"3,921.7",599.7,"2,844.7",477.3,,,,,,,
"Minneapolis-St. Paul-Bloomington, MN-WI M.S.A.","3,078,535",,,,,,,,,,,,,,,,
"    (Includes Anoka, Carver, Chisago, Dakota, Hennepin, Isanti, Ramsey, Scott, Sherburne, Washington, and Wright Counties, MN and Pierce and St. Croix Counties, WI.)",,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
"            Minneapolis, MN","378,602","4,517",46,384,"2,192","1,895","20,405","4,482","12,404","3,519",,,,,,,
"            St. Paul, MN","286,281","2,178",20,217,638,"1,303","13,540","3,074","8,376","2,090",,,,,,,
"            Bloomington, MN","84,756",149,1,24,52,72,"3,569",332,"2,988",249,,,,,,,
"            Plymouth, MN","67,836",67,0,17,11,39,"1,792",391,"1,338",63,,,,,,,
"            Eagan, MN","64,553",65,0,16,24,25,"1,529",211,"1,238",80,,,,,,,
"            Eden Prairie, MN","57,794",48,0,14,1,33,"1,367",189,"1,132",46,,,,,,,
"            Minnetonka, MN","51,524",42,1,16,6,19,"1,241",280,917,44,,,,,,,
        Total area actually reporting,93.3%,"9,767",88,"1,171","3,505","5,003","99,949","16,378","73,602","9,969",,,,,,,
        Estimated total,100.0%,"10,078",91,"1,229","3,571","5,187","106,292","17,227","78,675","10,390",,,,,,,
"        Rate per 100,000 inhabitants",,327.4,3.0,39.9,116.0,168.5,"3,452.7",559.6,"2,555.6",337.5,,,,,,,
"Mobile, AL M.S.A.","401,433", ,,,,, ,,,,,,,,,,
    (Includes Mobile County.),,,,,,,,,,,,,,,,,
        City of Mobile2,"251,345","1,300",24,113,739,424,"16,151","3,976","10,855","1,320",,,,,,,
        Total area actually reporting,99.1%,"2,224",34,180,"1,006","1,004","22,911","6,116","14,882","1,913",,,,,,,
        Estimated total,100.0%,"2,239",34,181,"1,011","1,013","23,077","6,148","15,004","1,925",,,,,,,
"        Rate per 100,000 inhabitants",,557.8,8.5,45.1,251.8,252.3,"5,748.7","1,531.5","3,737.6",479.5,,,,,,,
"Modesto, CA M.S.A.","487,502", ,,,,, ,,,,,,,,,,
    (Includes Stanislaus County.),,,,,,,,,,,,,,,,,
        City of Modesto,"205,691","1,409",17,73,380,939,"12,600","1,743","8,463","2,394",,,,,,,
        Total area actually reporting,100.0%,"3,110",27,170,724,"2,189","26,964","4,872","16,641","5,451",,,,,,,
"        Rate per 100,000 inhabitants",,637.9,5.5,34.9,148.5,449.0,"5,531.1",999.4,"3,413.5","1,118.1",,,,,,,
"Monroe, MI M.S.A.","149,692", ,,,,, ,,,,,,,,,,
    (Includes Monroe County.),,,,,,,,,,,,,,,,,
        City of Monroe,"22,094",90,1,16,18,55,738,147,561,30,,,,,,,
        Total area actually reporting,98.9%,372,2,79,53,238,"3,885",874,"2,704",307,,,,,,,
        Estimated total,100.0%,377,2,80,54,241,"3,934",882,"2,739",313,,,,,,,
"        Rate per 100,000 inhabitants",,251.9,1.3,53.4,36.1,161.0,"2,628.1",589.2,"1,829.8",209.1,,,,,,,
