Table 6,,,,,,,,,,,,,,,,,
Crime in the United States,,,,,,,,,,,,,,,,,
"by Metropolitan Statistical Area, 2004",,,,,,,,,,,,,,,,,
Metropolitan Statistical Area,Population,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,,,,,,,
"        Rate per 100,000 inhabitants",,566.0,5.1,31.0,183.5,346.4,"4,386.0",892.7,"2,525.2",968.1,,,,,,,
"Saginaw-Saginaw Township North, MI M.S.A.","210,005",,,,,,,,,,,,,,,,
    (Includes Saginaw County.),, ,,,,,,,,,,,,,,,
        City of Saginaw,"59,427","1,589",20,80,205,"1,284","2,721","1,099","1,290",332,,,,,,,
        Total area actually reporting,98.9%,"2,147",24,140,262,"1,721","7,463","2,024","4,824",615,,,,,,,
        Estimated total,100.0%,"2,153",24,141,263,"1,725","7,532","2,036","4,873",623,,,,,,,
"        Rate per 100,000 inhabitants",,"1,025.2",11.4,67.1,125.2,821.4,"3,586.6",969.5,"2,320.4",296.7,,,,,,,
"Salem, OR M.S.A.1","366,558", ,,,,, ,,,,,,,,,,
    (Includes Marion and Polk Counties.),,,,,,,,,,,,,,,,,
        City of Salem1 ,"144,319",745,4,61,141,539,"9,940","1,400","7,420","1,120",,,,,,,
        Total area actually reporting,99.7%,"1,189",7,118,231,833,"18,207","3,020","13,075","2,112",,,,,,,
        Estimated total,100.0%,"1,191",7,118,232,834,"18,251","3,027","13,107","2,117",,,,,,,
"        Rate per 100,000 inhabitants",,324.9,1.9,32.2,63.3,227.5,"4,979.0",825.8,"3,575.7",577.5,,,,,,,
"Salinas, CA M.S.A.","419,230", ,,,,, ,,,,,,,,,,
    (Includes Monterey County.),,,,,,,,,,,,,,,,,
        City of Salinas,"149,545","1,216",17,69,452,678,"6,764",918,"4,549","1,297",,,,,,,
        Total area actually reporting,100.0%,"2,097",33,129,721,"1,214","14,143","2,622","9,472","2,049",,,,,,,
"        Rate per 100,000 inhabitants",,500.2,7.9,30.8,172.0,289.6,"3,373.6",625.4,"2,259.4",488.8,,,,,,,
"Salisbury, MD M.S.A.","113,829", ,,,,, ,,,,,,,,,,
    (Includes Somerset and Wicomico Counties.),,,,,,,,,,,,,,,,,
        City of Salisbury,"25,472",476,3,21,148,304,"2,257",497,"1,654",106,,,,,,,
        Total area actually reporting,100.0%,927,6,41,226,654,"4,487","1,106","3,170",211,,,,,,,
"        Rate per 100,000 inhabitants",,814.4,5.3,36.0,198.5,574.5,"3,941.9",971.6,"2,784.9",185.4,,,,,,,
"Salt Lake City, UT M.S.A.","1,021,294", ,,,,, ,,,,,,,,,,
"    (Includes Salt Lake, Summit, and Tooele Counties.)",,,,,,,,,,,,,,,,,
        City of Salt Lake City,"182,768","1,328",15,92,465,756,"16,343","2,353","12,108","1,882",,,,,,,
        Total area actually reporting,99.8%,"3,671",27,525,961,"2,158","55,918","7,789","42,893","5,236",,,,,,,
        Estimated total,100.0%,"3,675",27,526,962,"2,160","55,993","7,800","42,952","5,241",,,,,,,
"        Rate per 100,000 inhabitants",,359.8,2.6,51.5,94.2,211.5,"5,482.6",763.7,"4,205.6",513.2,,,,,,,
"San Angelo, TX M.S.A.","107,038", ,,,,, ,,,,,,,,,,
    (Includes Irion and Tom Green Counties.),,,,,,,,,,,,,,,,,
        City of San Angelo ,"89,399",415,1,81,58,275,"5,848","1,079","4,523",246,,,,,,,
        Total area actually reporting,100.0%,446,1,88,60,297,"6,223","1,175","4,792",256,,,,,,,
"        Rate per 100,000 inhabitants",,416.7,0.9,82.2,56.1,277.5,"5,813.8","1,097.7","4,476.9",239.2,,,,,,,
"San Antonio, TX M.S.A.","1,851,300", ,,,,, ,,,,,,,,,,
"    (Includes Atascosa, Bandera, Bexar, Comal, Guadalupe, Kendall, Medina, and Wilson Counties.)",,,,,,,,,,,,,,,,,
        City of San Antonio,"1,235,128","7,846",94,677,"2,127","4,948","81,255","14,720","60,868","5,667",,,,,,,
        Total area actually reporting,100.0%,"9,465",118,887,"2,345","6,115","101,621","19,278","75,787","6,556",,,,,,,
"        Rate per 100,000 inhabitants",,511.3,6.4,47.9,126.7,330.3,"5,489.2","1,041.3","4,093.7",354.1,,,,,,,
"San Diego-Carlsbad-San Marcos, CA M.S.A.","2,964,696",,,,,,,,,,,,,,,,
    (Includes San Diego County.),,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            San Diego,"1,281,366","6,774",62,373,"1,650","4,689","45,443","7,305","25,168","12,970",,,,,,,
            Carlsbad,"88,380",270,2,13,42,213,"2,163",457,"1,476",230,,,,,,,
            San Marcos,"64,983",250,1,17,61,171,"1,495",346,844,305,,,,,,,
            National City,"58,964",421,5,16,139,261,"2,834",390,"1,544",900,,,,,,,
        Total area actually reporting,100.0%,"13,886",127,797,"3,588","9,374","97,390","17,547","55,671","24,172",,,,,,,
"        Rate per 100,000 inhabitants",,468.4,4.3,26.9,121.0,316.2,"3,285.0",591.9,"1,877.8",815.3,,,,,,,
"Sandusky, OH M.S.A.","78,869", ,,,,, ,,,,,,,,,,
    (Includes Erie County.),,,,,,,,,,,,,,,,,
        City of Sandusky,"27,085",141,0,16,31,94,"1,817",378,"1,359",80,,,,,,,
        Total area actually reporting,99.5%,188,2,22,44,120,"3,053",610,"2,320",123,,,,,,,
        Estimated total,100.0%,188,2,22,44,120,"3,064",612,"2,328",124,,,,,,,
"        Rate per 100,000 inhabitants",,238.4,2.5,27.9,55.8,152.2,"3,884.9",776.0,"2,951.7",157.2,,,,,,,
"San Francisco-Oakland-Fremont, CA M.S.A.","4,205,336",,,,,,,,,,,,,,,,
    (Includes the Metropolitan Divisions of Oakland-Fremont-Hayward and San Francisco-San Mateo-Redwood City.),,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            San Francisco,"760,353","5,757",88,152,"3,041","2,476","35,869","6,097","21,711","8,061",,,,,,,
            Oakland,"403,445","5,151",83,262,"2,190","2,616","22,185","4,324","10,984","6,877",,,,,,,
            Fremont,"206,884",454,5,24,165,260,"5,723",939,"3,903",881,,,,,,,
            Hayward,"142,966",588,9,30,290,259,"5,043",863,"2,484","1,696",,,,,,,
            Berkeley,"103,226",557,4,17,355,181,"8,611","1,382","6,101","1,128",,,,,,,
            San Mateo,"92,209",416,4,24,137,251,"3,344",398,"2,632",314,,,,,,,
            San Leandro,"81,063",489,4,27,181,277,"3,876",603,"2,303",970,,,,,,,
            Redwood City,"74,320",319,1,18,60,240,"2,473",359,"1,738",376,,,,,,,
            Pleasanton,"66,743",90,0,12,22,56,"1,886",272,"1,433",181,,,,,,,
            Walnut Creek,"65,903",115,1,4,33,77,"3,137",520,"2,332",285,,,,,,,
            South San Francisco,"60,100",119,1,12,38,68,"1,437",297,887,253,,,,,,,
            San Rafael,"56,449",197,1,20,61,115,"1,973",331,"1,292",350,,,,,,,
        Total area actually reporting,100.0%,"21,608",309,"1,031","9,272","10,996","170,061","29,289","103,924","36,848",,,,,,,
"        Rate per 100,000 inhabitants",,513.8,7.3,24.5,220.5,261.5,"4,043.9",696.5,"2,471.2",876.2,,,,,,,
"    Oakland-Fremont-Hayward, CA M.D.","2,490,569",,,,,,,,,,,,,,,,
        (Includes Alameda and Contra Costa Counties.),,,,,,,,,,,,,,,,,
            Total area actually reporting,100.0%,"13,160",192,677,"5,394","6,897","107,666","18,878","63,823","24,965",,,,,,,
"            Rate per 100,000 inhabitants",,528.4,7.7,27.2,216.6,276.9,"4,322.9",758.0,"2,562.6","1,002.4",,,,,,,
"    San Francisco-San Mateo-Redwood City, CA M.D.","1,714,767",,,,,,,,,,,,,,,,
"        (Includes Marin, San Francisco, and San Mateo Counties.)",,,,,,,,,,,,,,,,,
            Total area actually reporting,100.0%,"8,448",117,354,"3,878","4,099","62,395","10,411","40,101","11,883",,,,,,,
"            Rate per 100,000 inhabitants",,492.7,6.8,20.6,226.2,239.0,"3,638.7",607.1,"2,338.6",693.0,,,,,,,
"San Jose-Sunnyvale-Santa Clara, CA M.S.A.","1,754,732",,,,,,,,,,,,,,,,
    (Includes San Benito and Santa Clara Counties.),,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            San Jose,"908,712","3,379",24,256,785,"2,314","22,298","3,616","14,165","4,517",,,,,,,
            Sunnyvale,"130,032",161,2,19,52,88,"2,843",395,"2,102",346,,,,,,,
            Santa Clara,"103,273",239,2,37,52,148,"3,263",463,"2,429",371,,,,,,,
            Mountain View,"70,166",263,1,13,54,195,"1,973",229,"1,542",202,,,,,,,
            Milpitas,"63,809",195,0,21,35,139,"2,246",322,"1,625",299,,,,,,,
            Palo Alto,"57,893",89,2,12,38,37,"1,947",290,"1,526",131,,,,,,,
            Cupertino,"51,061",60,0,7,12,41,985,233,700,52,,,,,,,
        Total area actually reporting,100.0%,"5,327",37,479,"1,201","3,610","45,238","7,420","30,948","6,870",,,,,,,
"        Rate per 100,000 inhabitants",,303.6,2.1,27.3,68.4,205.7,"2,578.1",422.9,"1,763.7",391.5,,,,,,,
"San Luis Obispo-Paso Robles, CA M.S.A.","256,038",,,,,,,,,,,,,,,,
    (Includes San Luis Obispo County.),, ,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            San Luis Obispo,"44,712",183,1,25,29,128,"1,972",399,"1,442",131,,,,,,,
            Paso Robles,"26,718",120,0,13,8,99,669,250,364,55,,,,,,,
        Total area actually reporting,100.0%,777,2,97,81,597,"6,875","1,582","4,810",483,,,,,,,
"        Rate per 100,000 inhabitants",,303.5,0.8,37.9,31.6,233.2,"2,685.1",617.9,"1,878.6",188.6,,,,,,,
"Santa Barbara-Santa Maria, CA M.S.A.","407,785",,,,,,,,,,,,,,,,
    (Includes Santa Barbara County.),,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Santa Barbara,"89,269",624,0,40,88,496,"2,730",636,"1,889",205,,,,,,,
            Santa Maria,"82,889",660,3,34,152,471,"2,483",448,"1,500",535,,,,,,,
        Total area actually reporting,100.0%,"1,804",7,128,321,"1,348","9,981","2,350","6,553","1,078",,,,,,,
"        Rate per 100,000 inhabitants",,442.4,1.7,31.4,78.7,330.6,"2,447.6",576.3,"1,607.0",264.4,,,,,,,
"Santa Cruz-Watsonville, CA M.S.A.","254,486",,,,,,,,,,,,,,,,
    (Includes Santa Cruz County.),, ,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Santa Cruz,"54,888",490,1,59,82,348,"2,976",534,"2,251",191,,,,,,,
            Watsonville,"46,691",283,2,25,76,180,"1,789",236,"1,377",176,,,,,,,
        Total area actually reporting,100.0%,"1,198",5,124,205,864,"9,397","1,697","6,849",851,,,,,,,
"        Rate per 100,000 inhabitants",,470.8,2.0,48.7,80.6,339.5,"3,692.5",666.8,"2,691.3",334.4,,,,,,,
"Santa Fe, NM M.S.A.","138,510", ,,,,, ,,,,,,,,,,
    (Includes Santa Fe County.),,,,,,,,,,,,,,,,,
        City of Santa Fe ,"67,493",351,3,38,72,238,"4,319","1,961","2,132",226,,,,,,,
        Total area actually reporting,98.0%,807,8,73,78,648,"5,294","2,362","2,491",441,,,,,,,
        Estimated total,100.0%,825,8,75,79,663,"5,398","2,384","2,563",451,,,,,,,
"        Rate per 100,000 inhabitants",,595.6,5.8,54.1,57.0,478.7,"3,897.2","1,721.2","1,850.4",325.6,,,,,,,
"Santa Rosa-Petaluma, CA M.S.A.","472,109",,,,,,,,,,,,,,,,
    (Includes Sonoma County.),, ,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Santa Rosa,"155,155","1,002",5,98,140,759,"5,434",955,"3,791",688,,,,,,,
            Petaluma,"55,811",142,0,28,28,86,"1,323",169,991,163,,,,,,,
        Total area actually reporting,100.0%,"2,242",17,214,272,"1,739","13,303","2,552","9,169","1,582",,,,,,,
"        Rate per 100,000 inhabitants",,474.9,3.6,45.3,57.6,368.3,"2,817.8",540.6,"1,942.1",335.1,,,,,,,
"Sarasota-Bradenton-Venice, FL M.S.A.","647,673",,,,,,,,,,,,,,,,
    (Includes Manatee and Sarasota Counties.),,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Sarasota,"54,442",508,4,26,150,328,"3,866",869,"2,731",266,,,,,,,
            Bradenton,"53,664",385,4,18,126,237,"3,112",674,"2,100",338,,,,,,,
            Venice,"19,781",35,0,3,2,30,489,76,392,21,,,,,,,
        Total area actually reporting,100.0%,"3,938",18,185,765,"2,970","27,965","6,596","19,434","1,935",,,,,,,
"        Rate per 100,000 inhabitants",,608.0,2.8,28.6,118.1,458.6,"4,317.8","1,018.4","3,000.6",298.8,,,,,,,
"Savannah, GA M.S.A.","309,395", ,,,,, ,,,,,,,,,,
"    (Includes Bryan, Chatham, and Effingham Counties.)",,,,,,,,,,,,,,,,,
        City of Savannah,"129,698","1,105",23,66,656,360,"9,283","2,003","6,032","1,248",,,,,,,
        Total area actually reporting,98.4%,"1,792",27,91,790,884,"15,370","3,162","10,479","1,729",,,,,,,
        Estimated total,100.0%,"1,819",27,92,798,902,"15,644","3,206","10,681","1,757",,,,,,,
"        Rate per 100,000 inhabitants",,587.9,8.7,29.7,257.9,291.5,"5,056.3","1,036.2","3,452.2",567.9,,,,,,,
"Scranton--Wilkes-Barre, PA M.S.A.","553,962",,,,,,,,,,,,,,,,
"    (Includes Lackawanna, Luzerne, and Wyoming Counties.)",, ,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Scranton,"74,565",367,3,51,104,209,"2,190",516,"1,471",203,,,,,,,
            Wilkes-Barre,"41,767",166,3,15,90,58,"1,493",267,"1,107",119,,,,,,,
        Total area actually reporting,83.7%,"1,350",15,139,350,846,"10,389","1,865","7,768",756,,,,,,,
        Estimated total,100.0%,"1,559",17,153,405,984,"12,312","2,139","9,287",886,,,,,,,
"        Rate per 100,000 inhabitants",,281.4,3.1,27.6,73.1,177.6,"2,222.5",386.1,"1,676.5",159.9,,,,,,,
"Seattle-Tacoma-Bellevue, WA M.S.A.","3,178,846",,,,,,,,,,,,,,,,
    (Includes the Metropolitan Divisions of Seattle-Bellevue-Everett and Tacoma.),,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Seattle,"575,816","3,798",24,145,"1,588","2,041","42,797","7,734","25,810","9,253",,,,,,,
            Tacoma,"199,112","2,026",13,175,724,"1,114","16,580","2,997","10,361","3,222",,,,,,,
            Bellevue,"113,670",174,0,38,75,61,"4,856",680,"3,570",606,,,,,,,
            Everett,"97,783",563,3,62,185,313,"7,004","1,346","3,986","1,672",,,,,,,
            Kent,"82,529",408,5,54,117,232,"4,847","1,196","2,322","1,329",,,,,,,
            Renton,"54,665",245,2,24,95,124,"4,807",632,"3,190",985,,,,,,,
        Total area actually reporting,100.0%,"12,689",102,"1,331","4,309","6,947","161,950","31,274","99,544","31,132",,,,,,,
"        Rate per 100,000 inhabitants",,399.2,3.2,41.9,135.6,218.5,"5,094.6",983.8,"3,131.5",979.3,,,,,,,
"    Seattle-Bellevue-Everett, WA M.D.","2,429,147",,,,,,,,,,,,,,,,
        (Includes King and Snohomish Counties.),,,,,,, ,,,,,,,,,,
        Total area actually reporting,100.0%,"8,658",76,946,"3,123","4,513","123,382","23,128","75,502","24,752",,,,,,,
"        Rate per 100,000 inhabitants",,356.4,3.1,38.9,128.6,185.8,"5,079.2",952.1,"3,108.2","1,019.0",,,,,,,
"    Tacoma, WA M.D.","749,699",,,,,,,,,,,,,,,,
        (Includes Pierce County.),,,,,,,,,,,,,,,,,
        Total area actually reporting,100.0%,"4,031",26,385,"1,186","2,434","38,568","8,146","24,042","6,380",,,,,,,
"        Rate per 100,000 inhabitants",,537.7,3.5,51.4,158.2,324.7,"5,144.5","1,086.6","3,206.9",851.0,,,,,,,
"Sheboygan, WI M.S.A.","114,137", ,,,,, ,,,,,,,,,,
    (Includes Sheboygan County.),,,,,,,,,,,,,,,,,
        City of Sheboygan,"49,594",81,1,20,11,49,"1,920",237,"1,612",71,,,,,,,
        Total area actually reporting,100.0%,122,1,23,15,83,"2,859",338,"2,422",99,,,,,,,
"        Rate per 100,000 inhabitants",,106.9,0.9,20.2,13.1,72.7,"2,504.9",296.1,"2,122.0",86.7,,,,,,,
"Sherman-Denison, TX M.S.A.","117,087",,,,,,,,,,,,,,,,
    (Includes Grayson County.),, ,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Sherman,"36,870",145,3,4,24,114,"1,864",357,"1,449",58,,,,,,,
            Denison,"23,727",96,2,1,26,67,"1,215",287,868,60,,,,,,,
        Total area actually reporting,100.0%,331,7,20,55,249,"4,129",989,"2,940",200,,,,,,,
"        Rate per 100,000 inhabitants",,282.7,6.0,17.1,47.0,212.7,"3,526.4",844.7,"2,511.0",170.8,,,,,,,
"Shreveport-Bossier City, LA M.S.A.1","379,966",,,,,,,,,,,,,,,,
"    (Includes Bossier, Caddo, and De Soto Parishes.)",, ,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Shreveport,"199,221","2,178",33,135,690,"1,320","14,615","3,307","9,862","1,446",,,,,,,
            Bossier City1,"58,362",,3,31,62,,"3,069",544,"2,220",305,,,,,,,
        Total area actually reporting,99.5%,,40,205,774,,"20,776","4,496","14,265","2,015",,,,,,,
        Estimated total,100.0%,,40,206,776,,"20,887","4,513","14,353","2,021",,,,,,,
"        Rate per 100,000 inhabitants",,,10.5,54.2,204.2,,"5,497.1","1,187.7","3,777.4",531.9,,,,,,,
"Sioux City, IA-NE-SD M.S.A.","143,454", ,,,,, ,,,,,,,,,,
"    (Includes Woodbury County, IA, Dakota and Dixon Counties, NE, and Union County, SD.)",,,,,,,,,,,,,,,,,
"        City of Sioux City, IA","84,172",403,2,45,44,312,"4,170",921,"2,988",261,,,,,,,
        Total area actually reporting,99.4%,462,2,54,46,360,"4,789","1,053","3,427",309,,,,,,,
        Estimated total,100.0%,462,2,54,46,360,"4,803","1,056","3,437",310,,,,,,,
"        Rate per 100,000 inhabitants",,322.1,1.4,37.6,32.1,251.0,"3,348.1",736.1,"2,395.9",216.1,,,,,,,
"Sioux Falls, SD M.S.A.","200,084", ,,,,, ,,,,,,,,,,
"    (Includes Lincoln, McCook, Minnehaha, and Turner Counties.)",,,,,,,,,,,,,,,,,
        City of Sioux Falls,"134,985",417,3,108,43,263,"4,376",916,"3,176",284,,,,,,,
        Total area actually reporting,96.1%,473,3,118,47,305,"5,113","1,223","3,535",355,,,,,,,
        Estimated total,100.0%,480,3,120,48,309,"5,236","1,253","3,619",364,,,,,,,
"        Rate per 100,000 inhabitants",,239.9,1.5,60.0,24.0,154.4,"2,616.9",626.2,"1,808.7",181.9,,,,,,,
"South Bend-Mishawaka, IN-MI M.S.A.","319,701",,,,,,,,,,,,,,,,
"    (Includes St. Joseph County, IN and Cass County, MI.)",, ,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
"            South Bend, IN","106,254",762,10,71,344,337,"6,569","1,555","4,475",539,,,,,,,
"            Mishawaka, IN","48,723",374,0,20,58,296,"3,554",333,"3,060",161,,,,,,,
        Total area actually reporting,100.0%,"1,383",12,142,449,780,"13,470","2,666","9,912",892,,,,,,,
"        Rate per 100,000 inhabitants",,432.6,3.8,44.4,140.4,244.0,"4,213.3",833.9,"3,100.4",279.0,,,,,,,
"Spartanburg, SC M.S.A.","264,489", ,,,,, ,,,,,,,,,,
    (Includes Spartanburg County.),,,,,,,,,,,,,,,,,
        City of Spartanburg,"39,193",798,6,28,146,618,"3,607",787,"2,495",325,,,,,,,
        Total area actually reporting,100.0%,"1,863",16,102,323,"1,422","11,824","2,627","8,090","1,107",,,,,,,
"        Rate per 100,000 inhabitants",,704.4,6.0,38.6,122.1,537.6,"4,470.5",993.2,"3,058.7",418.5,,,,,,,
"Spokane, WA M.S.A.","436,113", ,,,,, ,,,,,,,,,,
    (Includes Spokane County.),,,,,,,,,,,,,,,,,
        City of Spokane,"198,944","1,207",8,90,310,799,"17,961","3,368","12,763","1,830",,,,,,,
        Total area actually reporting,100.0%,"1,661",15,147,380,"1,119","27,023","5,323","19,020","2,680",,,,,,,
"        Rate per 100,000 inhabitants",,380.9,3.4,33.7,87.1,256.6,"6,196.3","1,220.6","4,361.3",614.5,,,,,,,
"Springfield, MA M.S.A.","679,310", ,,,,, ,,,,,,,,,,
"    (Includes Franklin, Hampden, and Hampshire Counties.)",,,,,,,,,,,,,,,,,
        City of Springfield,"151,757","2,768",17,131,690,"1,930","9,950","2,148","5,506","2,296",,,,,,,
        Total area actually reporting,98.3%,"4,691",26,326,941,"3,398","23,043","5,627","13,791","3,625",,,,,,,
        Estimated total,100.0%,"4,724",26,328,948,"3,422","23,268","5,678","13,940","3,650",,,,,,,
"        Rate per 100,000 inhabitants",,695.4,3.8,48.3,139.6,503.7,"3,425.2",835.8,"2,052.1",537.3,,,,,,,
"Springfield, MO M.S.A.1","388,035", ,,,,, ,,,,,,,,,,
"    (Includes Christian, Dallas, Greene, Polk, and Webster Counties.)",,,,,,,,,,,,,,,,,
        City of Springfield1,"152,193",855,8,85,184,578,"12,255","1,857","9,590",808,,,,,,,
        Total area actually reporting,100.0%,"1,233",14,105,200,914,"17,083","2,965","12,992","1,126",,,,,,,
"        Rate per 100,000 inhabitants",,317.8,3.6,27.1,51.5,235.5,"4,402.4",764.1,"3,348.2",290.2,,,,,,,
"Springfield, OH M.S.A.","143,642", ,,,,, ,,,,,,,,,,
    (Includes Clark County.),,,,,,,,,,,,,,,,,
        City of Springfield,"64,614",490,6,55,261,168,"6,167","1,509","4,151",507,,,,,,,
        Total area actually reporting,98.5%,580,7,78,292,203,"8,593","2,152","5,758",683,,,,,,,
        Estimated total,100.0%,584,7,79,293,205,"8,656","2,163","5,806",687,,,,,,,
"        Rate per 100,000 inhabitants",,406.6,4.9,55.0,204.0,142.7,"6,026.1","1,505.8","4,042.0",478.3,,,,,,,
"State College, PA M.S.A.","142,104", ,,,,, ,,,,,,,,,,
    (Includes Centre County.),,,,,,,,,,,,,,,,,
        City of State College,"53,476",49,0,6,16,27,955,111,823,21,,,,,,,
        Total area actually reporting,97.8%,158,3,33,27,95,"2,745",366,"2,308",71,,,,,,,
        Estimated total,100.0%,165,3,33,29,100,"2,810",375,"2,360",75,,,,,,,
"        Rate per 100,000 inhabitants",,116.1,2.1,23.2,20.4,70.4,"1,977.4",263.9,"1,660.8",52.8,,,,,,,
"St. Cloud, MN M.S.A.","175,504", ,,,,, ,,,,,,,,,,
    (Includes Benton and Stearns Counties.),,,,,,,,,,,,,,,,,
        City of St. Cloud,"59,947",256,0,63,43,150,"2,765",321,"2,328",116,,,,,,,
        Total area actually reporting,100.0%,355,0,91,45,219,"4,675",646,"3,814",215,,,,,,,
"        Rate per 100,000 inhabitants",,202.3,0.0,51.9,25.6,124.8,"2,663.8",368.1,"2,173.2",122.5,,,,,,,
"St. Louis, MO-IL M.S.A.","2,758,612",,,,,,,,,,,,,,,,
"    (Includes Bond, Calhoun, Clinton, Jersey, Macoupin, Madison, Monroe, and St. Clair Counties, IL and Franklin, Jefferson, Lincoln, St. Charles, St. Louis, Warren, and Washington Counties and St. Louis City, MO.) ",,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
"            St. Louis, MO","335,143","6,897",113,111,"2,632","4,041","38,804","6,300","23,592","8,912",,,,,,,
"            St. Charles, MO","61,791",142,2,8,37,95,"1,719",314,"1,252",153,,,,,,,
        Total area actually reporting,75.2%,"11,605",156,402,"3,456","7,591","85,544","12,771","59,221","13,552",,,,,,,
        Estimated total,100.0%,"13,522",205,402,"3,902","9,013","100,385","15,341","70,539","14,505",,,,,,,
"        Rate per 100,000 inhabitants",,490.2,7.4,14.6,141.4,326.7,"3,639.0",556.1,"2,557.0",525.8,,,,,,,
"Stockton, CA M.S.A.","640,059", ,,,,, ,,,,,,,,,,
    (Includes San Joaquin County.),,,,,,,,,,,,,,,,,
        City of Stockton,"274,598","3,700",40,108,"1,187","2,365","18,405","3,067","11,023","4,315",,,,,,,
        Total area actually reporting,100.0%,"5,431",55,192,"1,558","3,626","36,314","6,494","21,652","8,168",,,,,,,
"        Rate per 100,000 inhabitants",,848.5,8.6,30.0,243.4,566.5,"5,673.5","1,014.6","3,382.8","1,276.1",,,,,,,
"Sumter, SC M.S.A.","107,258", ,,,,, ,,,,,,,,,,
    (Includes Sumter County.),,,,,,,,,,,,,,,,,
        City of Sumter,"40,279",726,5,18,105,598,"3,110",947,"1,939",224,,,,,,,
        Total area actually reporting,99.0%,"1,256",13,33,180,"1,030","5,741","1,929","3,330",482,,,,,,,
        Estimated total,100.0%,"1,262",13,33,181,"1,035","5,794","1,938","3,371",485,,,,,,,
"        Rate per 100,000 inhabitants",,"1,176.6",12.1,30.8,168.8,965.0,"5,401.9","1,806.9","3,142.9",452.2,,,,,,,
"Syracuse, NY M.S.A.","655,454", ,,,,, ,,,,,,,,,,
"    (Includes Madison, Onondaga, and Oswego Counties.)",,,,,,,,,,,,,,,,,
        City of Syracuse,"144,278","1,294",16,60,446,772,"6,556","1,659","3,784","1,113",,,,,,,
        Total area actually reporting,97.7%,"1,899",25,144,555,"1,175","17,223","3,855","11,972","1,396",,,,,,,
        Estimated total,100.0%,"1,927",25,146,565,"1,191","17,534","3,898","12,222","1,414",,,,,,,
"        Rate per 100,000 inhabitants",,294.0,3.8,22.3,86.2,181.7,"2,675.1",594.7,"1,864.7",215.7,,,,,,,
"Tallahassee, FL M.S.A.","335,164", ,,,,, ,,,,,,,,,,
"    (Includes Gadsden, Jefferson, Leon, and Wakulla Counties.)",,,,,,,,,,,,,,,,,
        City of Tallahassee,"157,358","1,525",12,162,340,"1,011","8,186","2,827","4,535",824,,,,,,,
        Total area actually reporting,100.0%,"2,558",19,255,434,"1,850","12,896","4,222","7,527","1,147",,,,,,,
"        Rate per 100,000 inhabitants",,763.2,5.7,76.1,129.5,552.0,"3,847.7","1,259.7","2,245.8",342.2,,,,,,,
"Tampa-St. Petersburg-Clearwater, FL M.S.A.","2,588,157",,,,,,,,,,,,,,,,
"    (Includes Hernando, Hillsborough, Pasco, and Pinellas Counties.)",,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Tampa ,"324,704","5,178",30,181,"1,413","3,554","24,835","6,077","14,821","3,937",,,,,,,
            St. Petersburg,"253,111","4,051",19,128,"1,033","2,871","17,274","3,824","10,839","2,611",,,,,,,
            Clearwater,"110,677","1,022",7,39,218,758,"5,022",979,"3,676",367,,,,,,,
            Largo,"72,747",439,2,30,77,330,"2,666",605,"1,806",255,,,,,,,
        Total area actually reporting,100.0%,"20,336",116,"1,084","4,484","14,652","118,096","27,443","76,892","13,761",,,,,,,
"        Rate per 100,000 inhabitants",,785.7,4.5,41.9,173.3,566.1,"4,562.9","1,060.3","2,970.9",531.7,,,,,,,
"Texarkana, TX-Texarkana, AR M.S.A.1","133,512",,,,,,,,,,,,,,,,
"    (Includes Miller County, AR and Bowie County, TX.)",, ,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
"            Texarkana, TX ","35,790",447,2,29,76,340,"2,703",557,"2,001",145,,,,,,,
"            Texarkana, AR ","29,185",369,3,16,48,302,"1,660",364,"1,216",80,,,,,,,
        Total area actually reporting,100.0%,"1,045",8,61,134,842,"5,795","1,324","4,132",339,,,,,,,
"        Rate per 100,000 inhabitants",,782.7,6.0,45.7,100.4,630.7,"4,340.4",991.7,"3,094.9",253.9,,,,,,,
"Toledo, OH M.S.A.","662,216", ,,,,, ,,,,,,,,,,
"    (Includes Fulton, Lucas, Ottawa, and Wood Counties.)",,,,,,,,,,,,,,,,,
