Table 6,,,,,,,,,,,,,,,,,
Index of Crime,,,,,,,,,,,,,,,,,
"by Metropolitan Statistical Area, 2002",,, ,,,,,,,,,,,,,,
Metropolitan Statistical Area,Population,Crime Index  ,Modified Crime Index1,Violent crime2,Property crime2,Murder and non-negligent man-     slaughter,Forcible rape,Robbery,Aggravated assault,Burglary,Larceny-theft,Motor vehicle theft,Arson1,,,,
         Total area actually reporting,100.0%,"4,275",,266,"4,009",3,46,90,127,708,"3,043",258, ,,,,
"         Rate per 100,000 inhabitants",,"2,817.3",,175.3,"2,642.0",2.0,30.3,59.3,83.7,466.6,"2,005.4",170.0,,,,,
"Killeen-Temple, TX M.S.A.","326,881", ,,,,,,,,,,,,,,,
    (Includes Bell and Coryell Counties.),,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Killeen,"90,779","6,505", ,711,"5,794",3,77,155,476,"1,756","3,700",338,,,,,
            Temple,"56,940","3,133",,232,"2,901",1,7,84,140,693,"1,981",227,,,,,
         Total area actually reporting,99.6%,"14,057",,"1,363","12,694",7,135,276,945,"3,405","8,519",770,,,,,
         Estimated total,100.0%,"14,109",,"1,366","12,743",7,135,277,947,"3,414","8,555",774,,,,,
"         Rate per 100,000 inhabitants",,"4,316.2", ,417.9,"3,898.4",2.1,41.3,84.7,289.7,"1,044.4","2,617.2",236.8,,,,,
"Knoxville, TN M.S.A.","700,296",,,,,,,,,,,,,,,,
"    (Includes Anderson, Blount, Knox, Loudon, Sevier, and Union Counties.)",,,,,,,,,,,,, ,,,,
        City of:,,, ,,,,,,,,,,,,,,
            Knoxville,"177,191","11,983", ,"1,956","10,027",21,74,553,"1,308","2,135","6,680","1,212",,,,,
            Oak Ridge,"25,078","1,679",,148,"1,531",0,15,43,90,293,"1,167",71,,,,,
         Total area actually reporting,100.0%,"31,093",,"3,734","27,359",35,217,766,"2,716","6,739","18,084","2,536",,,,,
"         Rate per 100,000 inhabitants",,"4,440.0",,533.2,"3,906.8",5.0,31.0,109.4,387.8,962.3,"2,582.3",362.1,,,,,
"Kokomo, IN M.S.A.","102,853",,,,,,,,,,,,,,,,
    (Includes Howard and Tipton Counties.),,,,,,,,,,,,,,,,,
         City of Kokomo,"46,709","3,146",,275,"2,871",3,18,40,214,559,"2,171",141,,,,,
         Total area actually reporting,88.9%,"3,948",,352,"3,596",5,24,49,274,737,"2,667",192,,,,,
         Estimated total,100.0%,"4,154",,369,"3,785",5,26,51,287,784,"2,792",209,,,,,
"         Rate per 100,000 inhabitants",,"4,038.8",,358.8,"3,680.0",4.9,25.3,49.6,279.0,762.3,"2,714.6",203.2,,,,,
"La Crosse, WI-MN M.S.A.","128,788",,,,,,,,,,,,,,,,
"    (Includes La Crosse County, WI and Houston County, MN.)",,, ,,,,,,,,,,,,,,
"         City of La Crosse, WI","52,567","1,798",,114,"1,684",0,14,26,74,210,"1,400",74,,,,,
         Total area actually reporting,100.0%,"3,450",,180,"3,270",0,26,28,126,414,"2,732",124, ,,,,
"         Rate per 100,000 inhabitants",,"2,678.8", ,139.8,"2,539.1",0.0,20.2,21.7,97.8,321.5,"2,121.3",96.3,,,,,
"Lafayette, IN M.S.A.3","185,184",, ,,,,,,,,,, ,,,,
    (Includes Clinton and Tippecanoe Counties.),, ,,, , , , , , , , ,,,,,
         City of Lafayette3,"57,126","3,346",,228,"3,118",5,44,42,137,624,"2,369",125,,,,,
         Total area actually reporting,99.6%,"6,610",,414,"6,196",6,83,55,270,"1,217","4,718",261,,,,,
         Estimated total,100.0%,"6,640",,416,"6,224",6,83,56,271,"1,221","4,740",263,,,,,
"         Rate per 100,000 inhabitants",,"3,585.6",,224.6,"3,361.0",3.2,44.8,30.2,146.3,659.3,"2,559.6",142.0, ,,,,
"Lafayette, LA M.S.A.","386,825",,,,,,,,,,,,,,,,
"    (Includes Acadia, Lafayette, St. Landry, and St. Martin Parishes.)",,,,,,,,,,,,,,,,,
         City of Lafayette,"110,594","8,431",,"1,043","7,388",3,85,171,784,"1,391","5,503",494,,,,,
         Total area actually reporting,93.3%,"17,326",,"2,154","15,172",14,149,307,"1,684","3,633","10,641",898,,,,,
         Estimated total,100.0%,"18,816",,"2,314","16,502",15,156,338,"1,805","3,901","11,626",975,,,,,
"         Rate per 100,000 inhabitants",,"4,864.2",,598.2,"4,266.0",3.9,40.3,87.4,466.6,"1,008.5","3,005.5",252.1,,,,,
"Lake Charles, LA M.S.A.","184,138",,,,,,,,,,,, ,,,,
    (Includes Calcasieu Parish.),,,,, , , , , , , , ,,,,,
         City of Lake Charles,"71,976","4,881",,695,"4,186",6,42,198,449,"1,889","1,982",315,,,,,
         Total area actually reporting,98.1%,"11,374",,"1,250","10,124",13,109,322,806,"3,268","6,182",674,,,,,
         Estimated total,100.0%,"11,570",,"1,271","10,299",13,110,326,822,"3,303","6,312",684,,,,,
"         Rate per 100,000 inhabitants",,"6,283.3",,690.2,"5,593.1",7.1,59.7,177.0,446.4,"1,793.8","3,427.9",371.5, ,,,,
"Lakeland-Winter Haven, FL M.S.A.","506,050",,,,,,,,,,,,,,,,
    (Includes Polk County.),,,,,,,,,,,,,,,,,
        City of:,,, , ,,,,,,,,,,,,,
            Lakeland,"82,039","5,360", ,665,"4,695",3,44,250,368,"1,018","3,332",345,,,,,
            Winter Haven,"27,698","2,504",,206,"2,298",1,34,78,93,436,"1,654",208,,,,,
         Total area actually reporting,99.4%,"25,818",,"2,847","22,971",27,203,660,"1,957","5,780","15,271","1,920",,,,,
         Estimated total,100.0%,"25,980",,"2,866","23,114",27,204,665,"1,970","5,809","15,370","1,935",,,,,
"         Rate per 100,000 inhabitants",,"5,133.9",,566.3,"4,567.5",5.3,40.3,131.4,389.3,"1,147.9","3,037.2",382.4,,,,,
"Lancaster, PA M.S.A.","472,729",,,,,,,,,,,, ,,,,
    (Includes Lancaster County.),,,,, , , , , , , , ,,,,,
         City of Lancaster,"56,596","3,725",,477,"3,248",4,43,239,191,613,"2,294",341,,,,,
         Total area actually reporting,89.8%,"12,036",,917,"11,119",9,92,369,447,"2,104","8,226",789,,,,,
         Estimated total,100.0%,"13,167",,"1,025","12,142",10,100,397,518,"2,251","9,026",865,,,,,
"         Rate per 100,000 inhabitants",,"2,785.3",,216.8,"2,568.5",2.1,21.2,84.0,109.6,476.2,"1,909.3",183.0, ,,,,
"Lansing-East Lansing, MI M.S.A.","452,774",,,,,,,,,,,,,,,,
"    (Includes Clinton, Eaton, and Ingham Counties.)",,,,,,,,,,,,,,,,,
        City of:,,, , ,,,,,,,,,,,,,
            Lansing,"120,471","6,601",,"1,292","5,309",11,169,245,867,"1,065","3,837",407,,,,,
            East Lansing,"47,049","1,455",,186,"1,269",0,25,30,131,184,"1,038",47,,,,,
         Total area actually reporting,99.3%,"16,247",,"2,069","14,178",12,356,373,"1,328","2,740","10,624",814,,,,,
         Estimated total,100.0%,"16,355",,"2,079","14,276",12,357,375,"1,335","2,757","10,694",825, ,,,,
"         Rate per 100,000 inhabitants",,"3,612.2",,459.2,"3,153.0",2.7,78.8,82.8,294.8,608.9,"2,361.9",182.2,,,,,
"Laredo, TX M.S.A.","201,712",,,,,,,,,,,,,,,,
    (Includes Webb County.),,, ,,,,,,,,,,,,,,
         City of Laredo,"184,435","12,952",,"1,107","11,845",7,58,203,839,"1,898","9,064",883,,,,,
         Total area actually reporting,100.0%,"13,468",,"1,186","12,282",8,59,203,916,"2,074","9,288",920,,,,,
"         Rate per 100,000 inhabitants",,"6,676.8", ,588.0,"6,088.9",4.0,29.2,100.6,454.1,"1,028.2","4,604.6",456.1,,,,,
"Las Vegas, NV-AZ M.S.A.3","1,696,624",,,,,,,,,,,,,,,,
"    (Includes Clark and Nye Counties, NV and Mohave County, AZ.)",,,,,,,,,,,,,,,,,
"         City of Las Vegas Metropolitan Police Department, NV3","1,153,546","56,810",,"8,981","47,829",137,494,"3,776","4,574","11,136","24,204","12,489",,,,,
         Total area actually reporting,100.0%,"81,627",,"11,518","70,109",168,681,"4,527","6,142","17,029","37,010","16,070",,,,,
"         Rate per 100,000 inhabitants",,"4,811.1",,678.9,"4,132.3",9.9,40.1,266.8,362.0,"1,003.7","2,181.4",947.2, ,,,,
"Lawrence, KS M.S.A.","100,984",, ,,,,,,,,,, ,,,,
    (Includes Douglas County.),,,,, , , , , , , , ,,,,,
         City of Lawrence,"80,916","3,939",,321,"3,618",2,32,43,244,668,"2,775",175,,,,,
         Total area actually reporting,100.0%,"4,668",,376,"4,292",2,37,45,292,848,"3,249",195,,,,,
"         Rate per 100,000 inhabitants",,"4,622.5",,372.3,"4,250.2",2.0,36.6,44.6,289.2,839.7,"3,217.3",193.1, ,,,,
"Lawrence, MA-NH M.S.A.","403,684",,,,,,,,,,,, ,,,,
"    (Includes part of Essex County, MA and part of Rockingham County, NH.)",,,,, , , , , , , , ,,,,,
"         City of Lawrence, MA","72,936","3,195",,528,"2,667",2,27,155,344,382,776,"1,509",,,,,
         Total area actually reporting,88.3%,"8,591",,"1,086","7,505",5,73,228,780,"1,626","3,737","2,142",,,,,
         Estimated total,100.0%,"9,398",,"1,147","8,251",5,85,236,821,"1,759","4,289","2,203",,,,,
"         Rate per 100,000 inhabitants",,"2,328.1",,284.1,"2,043.9",1.2,21.1,58.5,203.4,435.7,"1,062.5",545.7, ,,,,
"Lawton, OK M.S.A.","115,396",,,,,,,,,,,,,,,,
    (Includes Comanche County.),,,,,,,,,,,,,,,,,
         City of Lawton,"93,915","5,515",,666,"4,849",6,57,151,452,"1,281","3,247",321,,,,,
         Total area actually reporting,100.0%,"5,889",,736,"5,153",8,60,157,511,"1,357","3,436",360,,,,,
"         Rate per 100,000 inhabitants",,"5,103.3",,637.8,"4,465.5",6.9,52.0,136.1,442.8,"1,176.0","2,977.6",312.0,,,,,
"Lewiston-Auburn, ME M.S.A.","102,108",,,,,,,,,,,,,,,,
    (Includes part of Androscoggin County.),,,,,,,,,,,,,,,,,
        City of:,,, , ,,,,,,,,,,,,,
            Lewiston,"36,237","1,789",,79,"1,710",1,28,27,23,337,"1,322",51,,,,,
            Auburn,"23,559",849,,25,824,0,9,8,8,121,677,26,,,,,
         Total area actually reporting,100.0%,"3,392",,134,"3,258",2,49,37,46,641,"2,487",130,,,,,
"         Rate per 100,000 inhabitants",,"3,322.0",,131.2,"3,190.7",2.0,48.0,36.2,45.1,627.8,"2,435.7",127.3,,,,,
"Lima, OH M.S.A.","156,014",,,,,,,,,,,,,,,,
    (Includes Allen and Auglaize Counties.),,,, , , , , , , , , , ,,,,
         City of Lima,"40,321","3,286",,449,"2,837",5,66,126,252,755,"1,861",221,,,,,
         Total area actually reporting,85.9%,"5,031",,510,"4,521",5,86,143,276,"1,028","3,212",281,,,,,
         Estimated total,100.0%,"5,713",,545,"5,168",5,91,156,293,"1,133","3,709",326,,,,,
"         Rate per 100,000 inhabitants",,"3,661.9",,349.3,"3,312.5",3.2,58.3,100.0,187.8,726.2,"2,377.4",209.0,,,,,
"Lincoln, NE M.S.A.","252,912",, ,,,,,,,,,,,,,,
    (Includes Lancaster County.),,,,,,,,,,,,,,,,,
         City of Lincoln,"227,943","15,005",,"1,275","13,730",6,98,179,992,"2,014","11,190",526,,,,,
         Total area actually reporting,100.0%,"15,956",,"1,302","14,654",6,102,185,"1,009","2,209","11,886",559,,,,,
"         Rate per 100,000 inhabitants",,"6,308.9",,514.8,"5,794.1",2.4,40.3,73.1,399.0,873.4,"4,699.7",221.0,,,,,
"Little Rock-North Little Rock, AR M.S.A.","591,859",,,,,,,,,,,,,,,,
"    (Includes Faulkner, Lonoke, Pulaski, and Saline Counties.)",,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Little Rock,"185,646","20,680",,"2,411","18,269",41,116,884,"1,370","4,826","11,930","1,513",,,,,
            North Little Rock,"61,262","5,840",,520,"5,320",6,47,179,288,657,"4,207",456,,,,,
            Conway,"43,759","2,463",,90,"2,373",4,23,20,43,269,"2,046",58,,,,,
            Jacksonville,"30,326","1,731",,140,"1,591",0,7,34,99,328,"1,194",69,,,,,
         Total area actually reporting,100.0%,"40,284", ,"3,890","36,394",61,257,"1,196","2,376","7,956","25,745","2,693",,,,,
"         Rate per 100,000 inhabitants",,"6,806.4",,657.3,"6,149.1",10.3,43.4,202.1,401.4,"1,344.2","4,349.9",455.0,,,,,
"Longview-Marshall, TX M.S.A.","218,072",,,,,,,,,,,,,,,,
"    (Includes Gregg, Harrison, and Upshur Counties.)",,,,, , , , , , , , ,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Longview,"76,608","5,771",,575,"5,196",6,147,171,251,"1,047","3,654",495,,,,,
            Marshall,"25,000","1,493",,109,"1,384",0,18,30,61,306,982,96,,,,,
         Total area actually reporting,99.5%,"11,328",,964,"10,364",12,181,236,535,"2,474","7,082",808,,,,,
         Estimated total,100.0%,"11,380",,967,"10,413",12,181,237,537,"2,483","7,118",812,,,,,
"         Rate per 100,000 inhabitants",,"5,218.5",,443.4,"4,775.0",5.5,83.0,108.7,246.2,"1,138.6","3,264.1",372.4, ,,,,
"Los Angeles-Long Beach, CA M.S.A.","9,869,056",,,,,,,,,,,,,,,,
    (Includes Los Angeles County.),,,,,,,,,,,,,,,,,
        City of:, ,,,,,,,,,,,,,,,,
            Los Angeles,"3,830,561","190,992",,"51,695","139,297",654,"1,415","17,197","32,429","25,374","79,813","34,110",,,,,
            Long Beach,"478,478","19,303",,"3,626","15,677",67,144,"1,505","1,910","3,405","8,530","3,742",,,,,
            Pasadena,"138,857","4,881",,657,"4,224",3,25,255,374,959,"2,803",462,,,,,
            Lancaster,"123,079","5,123",,"1,362","3,761",12,57,313,980,"1,179","1,893",689,,,,,
         Total area actually reporting,100.0%,"394,590", ,"89,058","305,532","1,162","2,894","29,994","55,008","62,055","171,510","71,967",,,,,
"         Rate per 100,000 inhabitants",,"3,998.3",,902.4,"3,095.9",11.8,29.3,303.9,557.4,628.8,"1,737.9",729.2,,,,,
"Louisville, KY-IN M.S.A.3","1,038,641",,,,,,,,,,,,,,,,
"    (Includes Bullitt, Jefferson, and Oldham Counties, KY and Clark, Floyd, Harrison, and Scott Counties, IN.)",,,,,,,,,,,,,,,,,
        City of:, ,,,,,,,,,,,,,,,,
"            Lousiville, KY","259,472","15,439",,"2,037","13,402",35,49,995,958,"3,519","7,710","2,173",,,,,
"            New Albany, IN","38,089","3,109",,226,"2,883",3,8,79,136,614,"2,083",186,,,,,
         Total area actually reporting,80.9%,"39,500",,"4,473","35,027",59,143,"1,353","2,918","8,467","22,553","4,007",,,,,
         Estimated total,100.0%,"48,780", ,"5,308","43,472",62,196,"1,479","3,571","9,936","28,937","4,599",,,,,
"         Rate per 100,000 inhabitants",,"4,696.5", ,511.1,"4,185.5",6.0,18.9,142.4,343.8,956.6,"2,786.0",442.8,,,,,
"Lowell, MA-NH M.S.A.","305,639",,,,,,,,,,,,,,,,
"    (Includes part of Middlesex County, MA and Hillsborough County, NH.)",,,,,,,,,,,,,,,,,
"         City of Lowell, MA","106,472","4,258",,849,"3,409",7,47,158,637,630,"1,957",822,,,,,
         Total area actually reporting,99.1%,"6,846",,"1,030","5,816",8,56,206,760,"1,023","3,687","1,106",,,,,
         Estimated total,100.0%,"6,907", ,"1,037","5,870",8,56,207,766,"1,034","3,724","1,112",,,,,
"         Rate per 100,000 inhabitants",,"2,259.9", ,339.3,"1,920.6",2.6,18.3,67.7,250.6,338.3,"1,218.4",363.8,,,,,
"Lubbock, TX M.S.A.","253,427",,,,,,,,,,,,,,,,
    (Includes Lubbock County.),,,,, , , , , , , , ,,,,,
         City of Lubbock,"208,447","14,371",,"2,514","11,857",11,133,303,"2,067","2,979","8,307",571, ,,,,
         Total area actually reporting,100.0%,"16,001", ,"2,665","13,336",11,152,304,"2,198","3,281","9,387",668,,,,,
"         Rate per 100,000 inhabitants",,"6,313.8", ,"1,051.6","5,262.3",4.3,60.0,120.0,867.3,"1,294.7","3,704.0",263.6,,,,,
"Lynchburg, VA M.S.A.","221,438",,,,,,,,,,,,,,,,
"    (Includes Bedford and Lynchburg Cities and Amherst, Bedford, and Campbell Counties.)",,,,, , , , , , , , ,,,,,
         City of Lynchburg,"67,251","2,641",,309,"2,332",6,25,87,191,419,"1,714",199,,,,,
         Total area actually reporting,100.0%,"5,333",,534,"4,799",13,77,111,333,880,"3,532",387, ,,,,
"         Rate per 100,000 inhabitants",,"2,408.3",,241.2,"2,167.2",5.9,34.8,50.1,150.4,397.4,"1,595.0",174.8,,,,,
"Macon, GA M.S.A.","337,280",,,,,,,,,,,,,,,,
"    (Includes Bibb, Houston, Jones, Peach, and Twiggs Counties.)",,,,,,,,,,,,,,,,,
         City of Macon,"101,696","10,433",,638,"9,795",16,63,240,319,"2,288","6,296","1,211", ,,,,
         Total area actually reporting,99.9%,"20,860", ,"1,309","19,551",19,88,408,794,"4,490","13,108","1,953",,,,,
         Estimated total,100.0%,"20,872",,"1,310","19,562",19,88,408,795,"4,492","13,116","1,954",,,,,
"         Rate per 100,000 inhabitants",,"6,188.3",,388.4,"5,799.9",5.6,26.1,121.0,235.7,"1,331.8","3,888.8",579.3,,,,,
"Madison, WI M.S.A.","432,691",,,,,,,,,,,,,,,,
    (Includes Dane County.),,,,,,,,,,,,,,,,,
         City of Madison,"211,061","8,847",,755,"8,092",3,90,266,396,"1,564","5,898",630,,,,,
         Total area actually reporting,83.4%,"13,890", ,970,"12,920",4,117,327,522,"2,145","9,942",833,,,,,
         Estimated total,100.0%,"14,944",,"1,018","13,926",5,125,333,555,"2,352","10,684",890,,,,,
"         Rate per 100,000 inhabitants",,"3,453.7",,235.3,"3,218.5",1.2,28.9,77.0,128.3,543.6,"2,469.2",205.7,,,,,
"Manchester, NH M.S.A.","204,682",,,,,,,,,,,,,,,,
"    (Includes part of Hillsborough, Merrimack, and Rockingham Counties.)",,,,, , , , , , , , ,,,,,
         City of Manchester,"110,406","3,545",,242,"3,303",0,44,116,82,617,"2,441",245,,,,,
         Total area actually reporting,85.1%,"4,482",,312,"4,170",0,66,127,119,746,"3,100",324,,,,,
         Estimated total,100.0%,"5,001",,350,"4,651",0,73,132,145,832,"3,456",363, ,,,,
"         Rate per 100,000 inhabitants",,"2,443.3",,171.0,"2,272.3",0.0,35.7,64.5,70.8,406.5,"1,688.5",177.3,,,,,
"Mansfield, OH M.S.A.","176,873",,,,,,,,,,,,,,,,
    (Includes Crawford and Richland Counties.),,,,,,,,,,,,,,,,,
         City of Mansfield,"49,642","4,006",,174,"3,832",6,48,78,42,951,"2,697",184,,,,,
         Total area actually reporting,89.6%,"7,058",,244,"6,814",8,72,97,67,"1,616","4,904",294,,,,,
         Estimated total,100.0%,"7,631",,274,"7,357",8,77,108,81,"1,704","5,321",332,,,,,
"         Rate per 100,000 inhabitants",,"4,314.4",,154.9,"4,159.5",4.5,43.5,61.1,45.8,963.4,"3,008.4",187.7,,,,,
"McAllen-Edinburg-Mission, TX M.S.A.","594,808",,,,,,,,,,,,,,,,
    (Includes Hidalgo County.),,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            McAllen,"111,150","8,982",,533,"8,449",4,12,178,339,"1,074","6,684",691,,,,,
            Edinburg,"50,622","5,189",,284,"4,905",3,18,45,218,605,"4,051",249,,,,,
            Mission,"47,429","2,849",,80,"2,769",2,2,19,57,519,"1,970",280,,,,,
         Total area actually reporting,99.8%,"34,122",,"2,892","31,230",46,176,611,"2,059","6,479","22,481","2,270",,,,,
         Estimated total,100.0%,"34,183",,"2,896","31,287",46,176,612,"2,062","6,490","22,523","2,274",,,,,
"         Rate per 100,000 inhabitants",,"5,746.9", ,486.9,"5,260.0",7.7,29.6,102.9,346.7,"1,091.1","3,786.6",382.3,,,,,
"Medford-Ashland, OR M.S.A.","186,573",, ,,,,,,,,,,,,,,
    (Includes Jackson County.),,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Medford,"65,002","4,434",,254,"4,180",0,24,39,191,503,"3,484",193,,,,,
            Ashland,"20,093",947, ,15,932,0,5,9,1,147,739,46,,,,,
         Total area actually reporting,100.0%,"8,349",,493,"7,856",1,48,74,370,"1,232","6,188",436,,,,,
"         Rate per 100,000 inhabitants",,"4,474.9", ,264.2,"4,210.7",0.5,25.7,39.7,198.3,660.3,"3,316.7",233.7,,,,,
"Melbourne-Titusville-Palm Bay, FL M.S.A.","498,005",,,,,,,,,,,,,,,,
    (Includes Brevard County.),,,,, , ,, , , , , ,,,,,
        City of:,,,,,,, ,,,,,,,,,,
            Melbourne,"74,646","5,329",,"1,074","4,255",1,35,164,874,793,"3,218",244,,,,,
            Titusville,"42,530","2,146",,364,"1,782",2,22,95,245,550,"1,043",189,,,,,
            Palm Bay,"83,044","4,129", ,693,"3,436",2,64,89,538,917,"2,340",179,,,,,
         Total area actually reporting,100.0%,"23,277",,"4,088","19,189",12,247,636,"3,193","4,827","13,058","1,304",,,,,
"         Rate per 100,000 inhabitants",,"4,674.0",,820.9,"3,853.2",2.4,49.6,127.7,641.2,969.3,"2,622.1",261.8, ,,,,
"Merced, CA M.S.A.","218,289",,,,,,,,,,,,,,,,
    (Includes Merced County.),,,, ,,,,,,,,,,,,,
         City of Merced,"66,241","5,080",,498,"4,582",6,21,115,356,840,"3,175",567,,,,,
         Total area actually reporting,100.0%,"11,141",,"1,409","9,732",18,77,193,"1,121","2,702","5,707","1,323",,,,,
"         Rate per 100,000 inhabitants",,"5,103.8",,645.5,"4,458.3",8.2,35.3,88.4,513.5,"1,237.8","2,614.4",606.1,,,,,
"Miami, FL M.S.A.","2,356,396",,,,,,,,,,,,,,,,
    (Includes Miami-Dade County.),,,, ,,,,,,,,,,,,,
        City of:,,,,,,, ,,,,,,,,,,
            Miami,"379,044","33,952",,"7,228","26,724",65,96,"2,706","4,361","5,962","15,886","4,876",,,,,
            Miami Beach,"91,954","10,390",,"1,077","9,313",7,51,507,512,"1,464","6,639","1,210",,,,,
         Total area actually reporting,100.0%,"168,968",,"26,303","142,665",204,837,"8,435","16,827","26,120","95,340","21,205",,,,,
"         Rate per 100,000 inhabitants",,"7,170.6",,"1,116.2","6,054.4",8.7,35.5,358.0,714.1,"1,108.5","4,046.0",899.9,,,,,
"Middlesex-Somerset-Hunterdon, NJ M.S.A.","1,194,099",,,,,,,,,,,,,,,,
"    (Includes Hunterdon, Middlesex, and Somerset Counties.)",,, ,, , , , , , , , , ,,,,
         Total area actually reporting,99.9%,"26,364",,"2,082","24,282",15,123,785,"1,159","4,639","16,987","2,656",,,,,
         Estimated total,100.0%,"26,397",,"2,085","24,312",15,123,786,"1,161","4,645","17,007","2,660",,,,,
"         Rate per 100,000 inhabitants",,"2,210.6",,174.6,"2,036.0",1.3,10.3,65.8,97.2,389.0,"1,424.3",222.8,,,,,
"Minneapolis-St. Paul, MN-WI M.S.A.","3,028,704",,,,,,,,,,,,,,,,
"    (Includes Anoka, Carver, Chisago, Dakota, Hennepin, Isanti, Ramsey, Scott, Sherburne, Washington, and Wright Counties, MN and Pierce and St. Croix Counties, WI.)",,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,
"            Minneapolis, MN","390,415","26,630",,"4,123","22,507",47,362,"1,794","1,920","4,433","14,641","3,433",,,,,
"            St. Paul, MN","293,002","17,803",,"2,359","15,444",13,192,973,"1,181","3,232","10,041","2,171",,,,,
         Total area actually reporting,99.3%,"121,169",,"10,021","111,148",91,"1,271","3,615","5,044","17,835","82,937","10,376",,,,,
         Estimated total,100.0%,"121,940",,"10,056","111,884",91,"1,278","3,624","5,063","17,934","83,529","10,421", ,,,,
"         Rate per 100,000 inhabitants",,"4,026.1", ,332.0,"3,694.1",3.0,42.2,119.7,167.2,592.1,"2,757.9",344.1,,,,,
"Mobile, AL M.S.A.4","545,046",,,, , , ,, , , , ,,,,,
    (Includes Baldwin and Mobile Counties.),,,,,,,, ,,,,,,,,,
         City of Mobile4,"256,542","17,949",,"1,376","16,573",40,107,752,477,"3,590","11,534","1,449",,,,,
         Total area actually reporting,91.4%,"27,719",,"2,569","25,150",58,211,"1,031","1,269","6,019","16,984","2,147",,,,,
         Estimated total,100.0%,"29,946",,"2,755","27,191",60,225,"1,092","1,378","6,395","18,506","2,290",,,,,
"         Rate per 100,000 inhabitants",,"5,494.2",,505.5,"4,988.8",11.0,41.3,200.4,252.8,"1,173.3","3,395.3",420.1,,,,,
"Modesto, CA M.S.A.","463,419",, ,, ,,,,,,,,,,,,
    (Includes Stanislaus County.),,,, ,, , , , , , , ,,,,,
        City of:,,,,,,,,,,,,,,,,,
            Modesto,"195,795","12,981",,"1,013","11,968",5,71,344,593,"1,819","8,426","1,723",,,,,
            Turlock,"57,861","3,769",,281,"3,488",0,18,78,185,709,"1,985",794,,,,,
         Total area actually reporting,100.0%,"27,932",,"2,493","25,439",15,174,638,"1,666","4,837","16,358","4,244",,,,,
"         Rate per 100,000 inhabitants",,"6,027.4",,538.0,"5,489.4",3.2,37.5,137.7,359.5,"1,043.8","3,529.9",915.8,,,,,
"Monmouth-Ocean, NJ M.S.A.","1,149,767",,,,,,,,,,,,,,,,
    (Includes Monmouth and Ocean Counties.),,,,, , , , , , , , ,,,,,
         City of Dover Township,"91,582","2,542",,189,"2,353",11,9,46,123,432,"1,829",92,,,,,
         Total area actually reporting,100.0%,"26,398", ,"2,326","24,072",27,122,689,"1,488","4,393","18,280","1,399",,,,,
"         Rate per 100,000 inhabitants",,"2,295.9",,202.3,"2,093.6",2.3,10.6,59.9,129.4,382.1,"1,589.9",121.7,,,,,
"Montgomery, AL M.S.A.","336,006",,,,,,,,,,,,,,,,
"    (Includes Autauga, Elmore, and Montgomery Counties.)",,,,, , , , , , , , ,,,,,
         City of Montgomery,"203,355","17,617", ,"1,475","16,142",30,118,698,629,"3,812","10,640","1,690", ,,,,
         Total area actually reporting,91.0%,"21,848",,"1,784","20,064",32,159,780,813,"4,610","13,574","1,880",,,,,
         Estimated total,100.0%,"22,752",,"1,861","20,891",33,166,801,861,"4,816","14,132","1,943",,,,,
"         Rate per 100,000 inhabitants",,"6,771.3",,553.9,"6,217.4",9.8,49.4,238.4,256.2,"1,433.3","4,205.9",578.3,,,,,
"Muncie, IN M.S.A.","120,304",,,,,,,,,,,,,,,,
    (Includes Delaware County.),,, ,,,,,,,,,,,,,,
         City of Muncie,"68,301","3,214", ,284,"2,930",2,49,75,158,509,"2,232",189,,,,,
         Total area actually reporting,100.0%,"4,320",,353,"3,967",2,75,83,193,706,"3,025",236,,,,,
"         Rate per 100,000 inhabitants",,"3,590.9",,293.4,"3,297.5",1.7,62.3,69.0,160.4,586.8,"2,514.5",196.2,,,,,
"Myrtle Beach, SC M.S.A.","201,293",,,,,,,,,,,,,,,,
    (Includes Horry County.),,,,, , , , , , , , ,,,,,
         City of Myrtle Beach,"23,299","4,869", ,475,"4,394",2,42,158,273,835,"3,106",453, ,,,,
         Total area actually reporting,99.8%,"16,236",,"1,901","14,335",17,129,352,"1,403","2,970","10,058","1,307",,,,,
         Estimated total,100.0%,"16,264",,"1,904","14,360",17,129,353,"1,405","2,974","10,077","1,309",,,,,
"         Rate per 100,000 inhabitants",,"8,079.8",,945.9,"7,133.9",8.4,64.1,175.4,698.0,"1,477.4","5,006.1",650.3,,,,,
"Naples, FL M.S.A.","262,871",, ,,,,,,,,,,,,,,
    (Includes Collier County.),,,,, , , , , , , , ,,,,,
         City of Naples,"21,935","1,103",,76,"1,027",0,4,20,52,266,718,43,,,,,
         Total area actually reporting,100.0%,"9,738",,"1,415","8,323",7,89,280,"1,039","2,301","5,517",505,,,,,
"         Rate per 100,000 inhabitants",,"3,704.5",,538.3,"3,166.2",2.7,33.9,106.5,395.3,875.3,"2,098.7",192.1,,,,,
