Table 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Index of Crime1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"by Metropolitan Statistical Area, 2001",,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Metropolitan Statistical Area,Population,Crime Index total,Modified Crime Index total2,Violent crime3,Property crime3,Murder and non-negligent man-     slaughter,Forcible rape,Robbery,Aggravated assault,Burglary,Larceny-theft,Motor vehicle theft,Arson2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Santa Maria,"78,862","2,651",,330,"2,321",4,23,98,205,387,"1,693",241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Lompoc,"41,867","1,584",,161,"1,423",3,18,27,113,292,"1,051",80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"10,316",,"1,398","8,918",12,112,277,997,"1,681","6,677",560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"2,536.1", ,343.7,"2,192.4",3.0,27.5,68.1,245.1,413.3,"1,641.5",137.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Santa Cruz-Watsonville, CA M.S.A.","260,352",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Santa Cruz County.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        City of:,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Santa Cruz,"55,608","3,546", ,537,"3,009",0,51,87,399,478,"2,322",209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Watsonville,"45,088","2,250",,309,"1,941",4,19,81,205,296,"1,519",126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"10,146",,"1,210","8,936",13,113,212,872,"1,543","6,831",562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"3,897.0", ,464.8,"3,432.3",5.0,43.4,81.4,334.9,592.7,"2,623.8",215.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Santa Rosa, CA M.S.A.","467,137",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Sonoma County.),,, ,, , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Santa Rosa,"150,338","5,854",,507,"5,347",3,72,123,309,773,"4,050",524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Petaluma,"55,562","1,806",,91,"1,715",1,10,13,67,256,"1,372",87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"15,142",,"1,293","13,849",12,173,223,885,"2,875","9,868","1,106",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"3,241.4", ,276.8,"2,964.7",2.6,37.0,47.7,189.5,615.5,"2,112.4",236.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sarasota-Bradenton, FL M.S.A.","605,246",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Manatee and Sarasota Counties.),, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Sarasota,"54,081","4,671",,667,"4,004",2,36,201,428,"1,037","2,732",235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Bradenton,"50,787","3,393",,344,"3,049",5,20,98,221,725,"1,936",388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"30,249",,"4,026","26,223",18,227,775,"3,006","6,721","17,673","1,829",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"4,997.8", ,665.2,"4,332.6",3.0,37.5,128.0,496.7,"1,110.5","2,920.0",302.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Savannah, GA M.S.A.","300,067",, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes Bryan, Chatham, and Effingham Counties.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Savannah,"134,682","12,458",,"1,538","10,920",26,70,840,602,"2,080","7,400","1,440",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,89.3%,"18,034",,"2,116","15,918",38,101,957,"1,020","3,064","11,008","1,846",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"19,111",,"2,205","16,906",40,107,996,"1,062","3,284","11,651","1,971",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"6,368.9", ,734.8,"5,634.1",13.3,35.7,331.9,353.9,"1,094.4","3,882.8",656.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Seattle-Bellevue-Everett, WA M.S.A.","2,453,063",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes Island, King, and Snohomish Counties.)",,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        City of:,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Seattle,"572,345","46,091",,"4,150","41,941",25,164,"1,594","2,367","6,684","26,502","8,755",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Bellevue,"111,314","4,667",,162,"4,505",0,21,59,82,535,"3,431",539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Everett,"92,945","6,835",,547,"6,288",5,76,170,296,"1,008","3,798","1,482",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,95.9%,"125,127",,"8,843","116,284",72,930,"3,042","4,799","18,709","75,100","22,475",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"129,458",,"9,104","120,354",75,970,"3,112","4,947","19,461","77,831","23,062",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"5,277.4", ,371.1,"4,906.3",3.1,39.5,126.9,201.7,793.3,"3,172.8",940.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sheboygan, WI M.S.A.","113,449",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Sheboygan County.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Sheboygan,"51,154","2,284",,76,"2,208",3,24,10,39,300,"1,838",70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"3,221",,112,"3,109",3,32,14,63,436,"2,569",104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"2,839.2",,98.7,"2,740.4",2.6,28.2,12.3,55.5,384.3,"2,264.5",91.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sherman-Denison, TX M.S.A.","113,105",,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Grayson County.),,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        City of:,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Sherman,"35,878","2,452",,249,"2,203",0,12,59,178,381,"1,701",121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Denison,"23,290","1,434",,61,"1,373",0,3,17,41,334,952,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"5,127",,387,"4,740",0,27,84,276,"1,021","3,434",285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"4,533.0", ,342.2,"4,190.8",-,23.9,74.3,244.0,902.7,"3,036.1",252.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shreveport-Bossier City, LA M.S.A.","391,991",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes Bossier, Caddo, and Webster Parishes.)",,, ,,, , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        City of:,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Shreveport,"199,986","15,616",,"1,929","13,687",31,111,534,"1,253","3,368","9,200","1,119",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Bossier City,"56,416","4,194",,501,"3,693",3,20,84,394,640,"2,777",276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"23,167",,"2,774","20,393",43,160,655,"1,916","4,784","14,060","1,549",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"5,910.1",,707.7,"5,202.4",11.0,40.8,167.1,488.8,"1,220.4","3,586.8",395.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sioux City, IA-NE M.S.A.","124,041",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes Woodbury County, IA and Dakota County, NE.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         City of Sioux City, IA","84,922","5,498",,525,"4,973",7,36,67,415,"1,050","3,601",322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"6,212",,578,"5,634",8,44,69,457,"1,184","4,085",365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"5,008.0", ,466.0,"4,542.0",6.4,35.5,55.6,368.4,954.5,"3,293.3",294.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sioux Falls, SD M.S.A.","172,814",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Lincoln and Minnehaha Counties.),,,,, , , , , ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Sioux Falls,"124,263","4,130",,324,"3,806",2,76,38,208,681,"2,943",182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,90.4%,"4,522",,359,"4,163",2,86,38,233,833,"3,124",206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"4,978",,385,"4,593",2,99,38,246,916,"3,455",222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"2,880.6", ,222.8,"2,657.8",1.2,57.3,22.0,142.3,530.0,"1,999.3",128.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"South Bend, IN M.S.A.","267,055",,,,,,,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes St. Joseph County.),,,,, , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of South Bend,"108,396","9,122",,888,"8,234",21,78,487,302,"1,932","5,603",699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"16,317",,"1,226","15,091",24,106,612,484,"2,914","11,010","1,167",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"6,110.0", ,459.1,"5,650.9",9.0,39.7,229.2,181.2,"1,091.2","4,122.7",437.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Spokane, WA M.S.A.","424,594",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Spokane County.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Spokane,"198,744","17,073",,"1,409","15,664",7,79,440,883,"3,101","10,792","1,771",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,98.0%,"26,416",,"1,918","24,498",10,134,571,"1,203","4,924","17,053","2,521",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"26,875", ,"1,943","24,932",10,138,579,"1,216","4,990","17,355","2,587",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"6,329.6", ,457.6,"5,872.0",2.4,32.5,136.4,286.4,"1,175.2","4,087.4",609.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Springfield, MA M.S.A.","600,151",,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes part of Franklin, Hampden, and Hampshire Counties.)",,,,, , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Springfield,"152,806","12,798",,"3,277","9,521",10,99,503,"2,665","2,697","5,087","1,737",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Holyoke,"40,028","3,509",,592,"2,917",5,38,125,424,608,"2,065",244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Westfield,"40,263",954,,136,818,0,13,8,115,268,476,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Northampton,"29,116",712,,37,675,0,6,12,19,83,552,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,98.8%,"27,128",,"5,395","21,733",16,259,786,"4,334","5,821","13,019","2,893",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"27,278",,"5,414","21,864",16,260,788,"4,350","5,847","13,110","2,907",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"4,545.2",,902.1,"3,643.1",2.7,43.3,131.3,724.8,974.3,"2,184.5",484.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Springfield, MO M.S.A.","327,729",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes Christian, Greene, and Webster Counties.)",,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Springfield,"152,515","14,141",,989,"13,152",10,60,262,657,"2,182","10,066",904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"18,311",,"1,419","16,892",13,83,277,"1,046","3,158","12,574","1,160",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"5,587.2",,433.0,"5,154.3",4.0,25.3,84.5,319.2,963.6,"3,836.7",354.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"State College, PA M.S.A.","135,825",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Centre County.),,,,,, ,, , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of State College,"51,591","1,125",,54,"1,071",1,9,9,35,125,928,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"3,209",,163,"3,046",6,33,17,107,425,"2,548",73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"2,362.6", ,120.0,"2,242.6",4.4,24.3,12.5,78.8,312.9,"1,875.9",53.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"St. Cloud, MN M.S.A.","169,189",, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Benton and Stearns Counties.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of St. Cloud,"59,742","2,897",,200,"2,697",2,58,29,111,309,"2,208",180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,93.2%,"4,681",,329,"4,352",2,105,36,186,500,"3,574",278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"5,093",,348,"4,745",2,109,40,197,547,"3,893",305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"3,010.2",,205.7,"2,804.6",1.2,64.4,23.6,116.4,323.3,"2,301.0",180.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"St. Joseph, MO M.S.A.","103,122",,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Andrew and Buchanan Counties.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of St. Joseph,"74,446","4,367",,174,"4,193",2,18,46,108,726,"3,257",210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"4,887",,287,"4,600",4,23,47,213,847,"3,516",237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"4,739.0",,278.3,"4,460.7",3.9,22.3,45.6,206.6,821.4,"3,409.6",229.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Stockton-Lodi, CA M.S.A.","574,072",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes San Joaquin County.),, ,,, ,, , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        City of:,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Stockton,"248,301","19,728",,"3,296","16,432",30,144,"1,030","2,092","2,871","10,558","3,003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Lodi,"58,058","3,096",,507,"2,589",1,9,46,451,359,"1,890",340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"34,639",,"5,174","29,465",50,259,"1,294","3,571","5,670","18,995","4,800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"6,033.9", ,901.3,"5,132.6",8.7,45.1,225.4,622.0,987.7,"3,308.8",836.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sumter, SC M.S.A.","105,976",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Sumter County.),, ,,, ,, , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Sumter,"40,147","3,545",,492,"3,053",3,16,159,314,859,"1,791",403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,98.6%,"6,612",,961,"5,651",4,43,236,678,"1,860","3,101",690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"6,689",,969,"5,720",4,43,238,684,"1,871","3,155",694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"6,311.8", ,914.4,"5,397.4",3.8,40.6,224.6,645.4,"1,765.5","2,977.1",654.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Syracuse, NY M.S.A.","733,464",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes Cayuga, Madison, Onondaga, and Oswego Counties.)",,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Syracuse,"147,577","9,413",,"1,560","7,853",15,41,568,936,"1,802","5,166",885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Auburn,"28,627","1,209",,73,"1,136",0,13,11,49,191,920,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,99.9%,"23,512",,"2,412","21,100",25,123,749,"1,515","4,425","15,325","1,350",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"23,525",,"2,413","21,112",25,123,749,"1,516","4,427","15,334","1,351",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"3,207.4",,329.0,"2,878.4",3.4,16.8,102.1,206.7,603.6,"2,090.6",184.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tacoma, WA M.S.A.","711,979",,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Pierce County.),,,,, , , , , , ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Tacoma,"196,638","18,370",,"2,112","16,258",15,143,743,"1,211","2,920","10,033","3,305",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,99.6%,"42,741",,"3,776","38,965",33,326,"1,200","2,217","7,226","25,261","6,478",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"42,899",,"3,784","39,115",33,327,"1,203","2,221","7,249","25,365","6,501",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"6,025.3",,531.5,"5,493.8",4.6,45.9,169.0,311.9,"1,018.1","3,562.6",913.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tallahassee, FL M.S.A.","291,912",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Gadsden and Leon Counties.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Tallahassee,"154,527","12,151",,"1,809","10,342",7,127,428,"1,247","2,265","7,227",850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,98.8%,"18,199",,"2,865","15,334",14,206,611,"2,034","3,918","10,182","1,234",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"18,384",,"2,887","15,497",14,207,617,"2,049","3,951","10,294","1,252",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"6,297.8", ,989.0,"5,308.8",4.8,70.9,211.4,701.9,"1,353.5","3,526.4",428.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tampa-St. Petersburg-Clearwater, FL M.S.A.","2,458,083",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes Hernando, Hillsborough, Pasco, and Pinellas Counties.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Tampa ,"311,310","34,848",,"6,616","28,232",34,212,"2,359","4,011","6,096","15,586","6,550",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            St. Petersburg,"254,664","20,534",,"4,376","16,158",21,149,"1,147","3,059","3,678","10,418","2,062",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Clearwater,"111,606","6,642",,"1,026","5,616",4,56,230,736,"1,188","3,979",449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"145,240",,"22,224","123,016",122,"1,088","5,620","15,394","27,704","79,032","16,280",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"5,908.7", ,904.1,"5,004.6",5.0,44.3,228.6,626.3,"1,127.1","3,215.2",662.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Texarkana, TX-Texarkana, AR M.S.A.","132,059",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes Bowie County, TX and Miller County, AR.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"            Texarkana, TX ","35,571","3,026",,391,"2,635",2,25,65,299,517,"1,991",127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"            Texarkana, AR ","26,633","2,339",,216,"2,123",1,16,37,162,242,"1,764",117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"6,825",,791,"6,034",10,53,117,611,"1,152","4,543",339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
