Table 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Index of Crime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"by Metropolitan Statistical Area, 2000",,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Metropolitan Statistical Area,Population,Crime Index total,Modified Crime Index total1,Violent crime2,Property crime3,Murder and non-negligent man-     slaughter,Forcible rape,Robbery,Aggravated assault,Burglary,Larceny-theft,Motor vehicle theft,Arson1,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Salinas,"126,316","6,457",,"1,262","5,195",18,62,448,734,808,"3,760",627,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Monterey,"32,501","1,319",,195,"1,124",-,13,31,151,238,849,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"12,990",,"2,317","10,673",25,152,675,"1,465","2,236","7,477",960,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"3,419.3", ,609.9,"2,809.4",6.6,40.0,177.7,385.6,588.6,"1,968.1",252.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Salt Lake City-Ogden, UT M.S.A.","1,336,937",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes Davis, Salt Lake, and Weber Counties.)",,, , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        City of:, ,,, ,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Salt Lake City ,"179,455","16,831",,"1,301","15,530",10,137,576,578,"2,169","11,828","1,533",,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Ogden,"71,519","5,526",,443,"5,083",6,79,138,220,854,"3,840",389,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Clearfield,"28,389",900,,44,856,-,15,7,22,105,696,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,99.9%,"72,067",,"4,526","67,541",47,605,"1,140","2,734","9,987","52,362","5,192",,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"72,085",,"4,527","67,558",47,605,"1,140","2,735","9,989","52,376","5,193",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"5,391.8", ,338.6,"5,053.2",3.5,45.3,85.3,204.6,747.2,"3,917.6",388.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"San Angelo, TX M.S.A.","106,422",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Tom Green County.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of San Angelo ,"91,800","4,796",,342,"4,454",1,83,41,217,821,"3,505",128,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"5,199",,410,"4,789",1,91,42,276,913,"3,734",142,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"4,885.3", ,385.3,"4,500.0",0.9,85.5,39.5,259.3,857.9,"3,508.7",133.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"San Antonio, TX M.S.A.","1,628,009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes Bexar, Comal, Guadalupe, and Wilson Counties.)",,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            San Antonio,"1,193,440","86,332",,"7,908","78,424",85,456,"1,699","5,668","11,604","60,952","5,868",,,,,,,,,,,,,,,,,,,,,,,,,,,,
            New Braunfels,"39,824","2,696",,194,"2,502",-,18,28,148,204,"2,193",105,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,99.0%,"103,469",,"9,264","94,205",104,615,"1,905","6,640","14,424","73,142","6,639",,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"104,149",,"9,312","94,837",104,619,"1,916","6,673","14,540","73,609","6,688",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"6,397.3", ,572.0,"5,825.3",6.4,38.0,117.7,409.9,893.1,"4,521.4",410.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"San Diego, CA M.S.A.","2,882,676",,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes San Diego County.),,,,,, , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            San Diego,"1,266,132","46,359",,"7,160","39,199",54,349,"1,777","4,980","6,717","23,015","9,467",,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Escondido,"125,230","5,099",,669,"4,430",5,35,144,485,750,"2,878",802,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Coronado,"28,785",430,,23,407,-,3,3,17,116,244,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"94,408",,"13,746","80,662",97,801,"3,347","9,501","15,777","47,850","17,035",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"3,275.0",,476.8,"2,798.2",3.4,27.8,116.1,329.6,547.3,"1,659.9",590.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"San Francisco, CA M.S.A.","1,722,596",, ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes Marin, San Francisco, and San Mateo Counties.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of San Francisco ,"763,146","42,174",,"6,499","35,675",59,229,"3,456","2,755","5,695","24,417","5,563", ,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"67,636",,"9,195","58,441",74,422,"4,188","4,511","9,253","40,864","8,324",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"3,926.4",,533.8,"3,392.6",4.3,24.5,243.1,261.9,537.2,"2,372.2",483.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"San Jose, CA M.S.A.","1,683,530",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Santa Clara County.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of:,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            San Jose,"888,632","22,808",,"4,928","17,880",19,337,677,"3,895","2,670","12,595","2,615",,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Sunnyvale,"130,115","2,638",,191,"2,447",1,17,43,130,308,"1,952",187,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Santa Clara,"102,241","3,121",,292,"2,829",-,6,33,253,514,"2,035",280,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Palo Alto,"60,133","1,905",,93,"1,812",1,6,46,40,223,"1,503",86,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Gilroy,"39,313","1,676",,304,"1,372",6,18,36,244,261,"1,000",111,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"44,253",,"7,174","37,079",33,486,"1,041","5,614","5,954","27,081","4,044",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"2,628.6",,426.1,"2,202.5",2.0,28.9,61.8,333.5,353.7,"1,608.6",240.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"San Luis Obispo-Atascadero-Paso Robles, CA M.S.A.","242,147",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes San Luis Obispo County.),,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            San Luis Obispo,"43,831","2,082",,134,"1,948",-,17,25,92,342,"1,480",126,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Atascadero,"25,380",771,,134,637,-,5,7,122,193,404,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Paso Robles,"22,466",877,,58,819,1,1,10,46,154,617,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"7,156",,697,"6,459",3,69,70,555,"1,351","4,706",402,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"2,955.2", ,287.8,"2,667.4",1.2,28.5,28.9,229.2,557.9,"1,943.4",166.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Santa Barbara-Santa Maria-Lompoc, CA M.S.A.","399,643",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Santa Barbara County.),,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Santa Barbara,"88,181","2,991",,456,"2,535",3,37,58,358,497,"1,929",109, ,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Santa Maria,"70,512","2,496",,310,"2,186",3,23,57,227,409,"1,609",168,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Lompoc,"42,200","1,374",,143,"1,231",2,13,31,97,249,931,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"10,157",,"1,312","8,845",10,117,190,995,"1,826","6,571",448,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"2,541.5", ,328.3,"2,213.2",2.5,29.3,47.5,249.0,456.9,"1,644.2",112.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Santa Cruz-Watsonville, CA M.S.A.","250,576",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Santa Cruz County.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        City of:,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Santa Cruz,"54,684","2,964", ,544,"2,420",3,48,72,421,400,"1,823",197,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Watsonville,"37,589","1,891",,303,"1,588",1,19,59,224,305,"1,149",134,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"8,690",,"1,186","7,504",8,102,171,905,"1,471","5,513",520,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"3,468.0", ,473.3,"2,994.7",3.2,40.7,68.2,361.2,587.0,"2,200.1",207.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Santa Fe, NM M.S.A.","153,742",, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
     (Includes Los Alamos and Santa Fe Counties.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Santa Fe,"72,454","4,915",,404,"4,511",6,43,96,259,"1,876","2,402",233,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,93.8%,"6,496",,686,"5,810",6,70,106,504,"2,406","3,098",306,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"6,883",,733,"6,150",6,72,111,544,"2,462","3,357",331,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"4,477.0", ,476.8,"4,000.2",3.9,46.8,72.2,353.8,"1,601.4","2,183.5",215.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Santa Rosa, CA M.S.A.","449,614",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Sonoma County.),,, ,, , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Santa Rosa,"139,899","5,289",,546,"4,743",2,71,129,344,823,"3,505",415,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Petaluma,"53,956","1,426",,83,"1,343",1,8,16,58,182,"1,089",72,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"13,512",,"1,356","12,156",11,167,239,939,"2,679","8,548",929,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"3,005.2", ,301.6,"2,703.7",2.4,37.1,53.2,208.8,595.8,"1,901.2",206.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sarasota-Bradenton, FL M.S.A.","581,788",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Manatee and Sarasota Counties.),, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Sarasota,"53,689","4,278",,607,"3,671",5,44,189,369,819,"2,563",289,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Bradenton,"49,858","3,398",,461,"2,937",4,15,159,283,691,"1,930",316,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"27,443",,"3,861","23,582",22,178,766,"2,895","5,481","16,249","1,852",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"4,717.0", ,663.6,"4,053.4",3.8,30.6,131.7,497.6,942.1,"2,792.9",318.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Savannah, GA M.S.A.","303,173",, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes Bryan, Chatham, and Effingham Counties.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Savannah,"136,180","11,093",,"1,415","9,678",31,84,796,504,"1,793","5,934","1,951",,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,99.2%,"17,513",,"2,074","15,439",42,109,916,"1,007","2,961","9,996","2,482",,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"17,688",,"2,089","15,599",42,110,921,"1,016","2,985","10,116","2,498",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"5,834.3", ,689.0,"5,145.2",13.9,36.3,303.8,335.1,984.6,"3,336.7",824.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Seattle-Bellevue-Everett, WA M.S.A.","2,375,924",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes Island, King, and Snohomish Counties.)",,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        City of:,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Seattle,"550,005","45,300",,"4,333","40,967",36,181,"1,653","2,463","6,157","26,424","8,386",,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Bellevue,"108,046","4,511",,139,"4,372",-,17,60,62,470,"3,397",505,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Everett,"89,442","6,228",,567,"5,661",4,142,146,275,970,"3,421","1,270",,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,99.5%,"123,359",,"9,075","114,284",71,"1,163","2,999","4,842","19,123","74,854","20,307",,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"124,051",,"9,115","114,936",71,"1,169","3,011","4,864","19,229","75,311","20,396",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"5,221.2", ,383.6,"4,837.5",3.0,49.2,126.7,204.7,809.3,"3,169.8",858.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sheboygan, WI M.S.A.","112,511",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Sheboygan County.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Sheboygan,"50,627","2,331",,87,"2,244",-,20,14,53,315,"1,807",122,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"3,325",,133,"3,192",-,25,16,92,492,"2,540",160,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"2,955.3",,118.2,"2,837.1",-,22.2,14.2,81.8,437.3,"2,257.6",142.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sherman-Denison, TX M.S.A.","107,908",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Grayson County.),,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        City of:,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Sherman,"35,479","2,178",,198,"1,980",1,12,30,155,347,"1,540",93,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Denison,"23,352","1,333",,61,"1,272",2,4,19,36,278,918,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"4,663",,339,"4,324",5,22,54,258,886,"3,209",229,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"4,321.3", ,314.2,"4,007.1",4.6,20.4,50.0,239.1,821.1,"2,973.8",212.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shreveport-Bossier City, LA M.S.A.","386,047",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes Bossier City, Caddo, and Webster Parishes.)",,, ,,, , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        City of:,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Shreveport,"191,548","17,059",,"1,875","15,184",54,98,570,"1,153","3,183","10,996","1,005",,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Bossier City,"57,664","4,172",,487,"3,685",4,32,106,345,611,"2,813",261,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"24,661",,"2,912","21,749",61,165,725,"1,961","4,534","15,820","1,395",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"6,388.1",,754.3,"5,633.8",15.8,42.7,187.8,508.0,"1,174.5","4,097.9",361.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sioux City, IA-NE M.S.A.4","123,109",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes Woodbury County, IA and Dakota County, NE.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         City of Sioux City, IA4","84,486","5,549",,474,"5,075",1,40,50,383,"1,016","3,698",361,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"6,392",,558,"5,834",3,48,51,456,"1,203","4,221",410,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"5,192.1", ,453.3,"4,738.9",2.4,39.0,41.4,370.4,977.2,"3,428.7",333.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sioux Falls, SD M.S.A.","170,559",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Lincoln and Minnehaha Counties.),,,,, , , , , ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Sioux Falls,"120,177","4,287",,401,"3,886",2,81,55,263,603,"3,049",234,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,90.3%,"4,626",,425,"4,201",2,84,56,283,714,"3,228",259,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"5,110",,455,"4,655",2,98,57,298,778,"3,603",274,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"2,996.0", ,266.8,"2,729.3",1.2,57.5,33.4,174.7,456.1,"2,112.5",160.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"South Bend, IN M.S.A.","264,522",,,,,,,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes St. Joseph County.),,,,, , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of South Bend,"101,232","8,496",,797,"7,699",12,68,388,329,"1,930","5,049",720,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,99.4%,"15,490",,"1,173","14,317",17,95,473,588,"2,939","10,160","1,218",,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"15,563",,"1,177","14,386",17,95,474,591,"2,948","10,215","1,223",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"5,883.4", ,445.0,"5,438.5",6.4,35.9,179.2,223.4,"1,114.5","3,861.7",462.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Spokane, WA M.S.A.","419,542",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Spokane County.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Spokane,"188,734","16,317",,"1,234","15,083",8,69,370,787,"2,969","10,819","1,295",,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,98.0%,"25,050",,"1,744","23,306",12,119,475,"1,138","4,673","16,717","1,916",,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"25,517", ,"1,771","23,746",12,123,483,"1,153","4,745","17,025","1,976",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"6,082.1", ,422.1,"5,660.0",2.9,29.3,115.1,274.8,"1,131.0","4,058.0",471.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Springfield, MA M.S.A.","513,980",,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes part of Franklin, Hampden, and Hampshire Counties.)",,,,, , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Springfield,"151,362","12,378",,"2,762","9,616",8,122,455,"2,177","2,122","5,792","1,702",,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Holyoke,"41,823","2,772",,460,"2,312",4,23,95,338,486,"1,622",204,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Westfield5,"38,674",,,,794,-,7,10,,193,524,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            North Hampton,"29,212",612,,47,565,-,13,10,24,79,459,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,99.7%,,,,"18,691",19,240,678,,"4,194","12,022","2,475",,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,,,,"18,722",19,240,679,,"4,199","12,044","2,479",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,,,,"3,642.6",3.7,46.7,132.1,,817.0,"2,343.3",482.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Springfield, MO M.S.A.","342,924",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes Christian, Greene, and Webster Counties.)",,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of Springfield,"145,979","13,351",,842,"12,509",4,65,285,488,"2,279","9,367",863,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"16,879",,"1,277","15,602",6,105,303,863,"3,173","11,312","1,117",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"4,922.1",,372.4,"4,549.7",1.7,30.6,88.4,251.7,925.3,"3,298.7",325.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"State College, PA M.S.A.","135,354",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Centre County.),,,,,, ,, , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of State College,"53,216","1,437",,52,"1,385",-,16,11,25,149,"1,197",39,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"3,608",,187,"3,421",2,37,18,130,389,"2,939",93,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"2,665.6", ,138.2,"2,527.4",1.5,27.3,13.3,96.0,287.4,"2,171.3",68.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"St. Cloud, MN M.S.A.7","169,885",, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Benton and Stearns Counties.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of St. Cloud7,"59,851","1,305",,111,"1,194",1,26,23,61,118,932,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"2,997",,220,"2,777",3,65,34,118,353,"2,171",253,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"1,764.1",,129.5,"1,634.6",1.8,38.3,20.0,69.5,207.8,"1,277.9",148.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"St. Joseph, MO M.S.A.","99,476",,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes Andrew and Buchanan Counties.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         City of St. Joseph,"71,191","3,927",,224,"3,703",-,20,44,160,534,"2,990",179,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,83.0%,"4,055",,227,"3,828",-,20,45,162,568,"3,076",184,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Estimated total,100.0%,"4,524",,263,"4,261",-,23,51,189,644,"3,399",218,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"4,547.8",,264.4,"4,283.4",-,23.1,51.3,190.0,647.4,"3,416.9",219.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Stockton-Lodi, CA M.S.A.","575,528",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    (Includes San Joaquin County.),, ,,, ,, , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        City of:,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Stockton,"250,391","16,849",,"2,972","13,877",30,114,"1,049","1,779","2,500","9,259","2,118",,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Lodi,"58,244","2,836",,449,"2,387",-,19,52,378,367,"1,770",250,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Total area actually reporting,100.0%,"29,633",,"4,594","25,039",39,208,"1,308","3,039","5,140","16,615","3,284",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"         Rate per 100,000 inhabitants",,"5,148.8", ,798.2,"4,350.6",6.8,36.1,227.3,528.0,893.1,"2,886.9",570.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Syracuse, NY M.S.A.","764,649",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    (Includes Cayuga, Madison, Onondaga, and Oswego Counties.)",,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        City of:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Syracuse,"157,016","9,130",,"1,565","7,565",18,47,452,"1,048","1,846","4,941",778,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            Auburn,"30,303","1,130",,74,"1,056",-,8,23,43,181,855,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
